"kD" "s" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.24 0.06 0.5 0.5 0.5 0.500000256303468 0.500001213808884 0.500008625142489 0.500092523656379 0.500424468864189 0.502243302704851
0.25 0.06 0.5 0.5 0.5 0.50000025290304 0.500001395092121 0.500010781915749 0.500098130712678 0.50051217731368 0.502686039047703
0.26 0.06 0.5 0.5 0.5 0.500000249015445 0.500001613091948 0.500013519648766 0.500104008462956 0.500618372574186 0.503155960593174
0.27 0.06 0.5 0.5 0.5 0.50000024469813 0.500001876779253 0.500017006918852 0.500110183092658 0.500746020091004 0.503634502711228
0.28 0.06 0.5 0.5 0.5 0.500000240005966 0.500002197620799 0.500021464165013 0.500116683482787 0.500897875161722 0.504101566540475
0.29 0.06 0.5 0.5 0.5 0.500000234991251 0.500002590358375 0.500027180062723 0.500123541494289 0.501076046519971 0.504538897884578
0.3 0.06 0.5 0.5 0.5 0.500000229703723 0.50000307405402 0.500034532857392 0.500130792278109 0.501281436650615 0.504932887297532
0.31 0.06 0.5 0.5 0.5 0.500000224190571 0.500003673499157 0.500044017827964 0.500138474611054 0.501513143708501 0.50527594930758
0.32 0.06 0.5 0.5 0.5 0.500000218496471 0.500004421123248 0.500056281998202 0.50014663125662 0.501767987457197 0.505566334745701
0.33 0.06 0.5 0.5 0.5 0.500000212663613 0.500005359590346 0.500072166784937 0.500155309348581 0.502040370283855 0.505806840024864
0.34 0.06 0.5 0.5 0.5 0.500000206731747 0.500006545345144 0.500092758111649 0.500164560793216 0.502322647899038 0.506003097871748
0.35 0.06 0.5 0.5 0.5 0.500000200738239 0.50000805347116 0.500119441054216 0.50017444268346 0.502606034172707 0.506162001178593
0.36 0.06 0.5 0.5 0.5 0.500000194718127 0.500009984361407 0.500153951532449 0.500185017714861 0.502881848063547 0.506290538840972
0.37 0.06 0.5 0.5 0.5 0.500000188704201 0.500012472885936 0.500198410054162 0.500196354588765 0.503142747332066 0.506395088915784
0.38 0.06 0.5 0.5 0.5 0.500000182727078 0.500015700978678 0.500255311688657 0.500208528382498 0.503383592787822 0.506481086179009
0.39 0.06 0.5 0.5 0.5 0.500000176815305 0.500019914857039 0.500327433740144 0.500221620859302 0.503601751999678 0.506552943364759
0.4 0.06 0.5 0.5 0.5 0.500000170995459 0.500025448407544 0.500417613530584 0.500235720682242 0.503796875921489 0.506614117962904
0.41 0.06 0.5 0.5 0.5 0.500000165292274 0.500032754542471 0.50052835519281 0.500250923486382 0.503970340057689 0.506667246462329
0.42 0.06 0.5 0.5 0.5 0.500000159728772 0.500042446371483 0.500661263645432 0.500267331752339 0.504124579237881 0.506714297336886
0.43 0.06 0.5 0.5 0.5 0.500000154326421 0.500055349454319 0.500816387884743 0.500285054412566 0.504262489745503 0.506756716311749
0.44 0.06 0.5 0.5 0.5 0.500000149105308 0.500072564486456 0.500991667815872 0.500304206110536 0.504386985416502 0.506795551970283
0.45 0.06 0.5 0.5 0.5 0.500000144084333 0.500095535328349 0.501182753337678 0.500324906024156 0.504500721716564 0.506831558238404
0.46 0.06 0.5 0.5 0.5 0.500000139281438 0.500126108681627 0.501383407588981 0.500347276161228 0.504605960466987 0.50686527469904
0.47 0.06 0.5 0.5 0.5 0.500000134713863 0.500166557478774 0.501586482415099 0.500371439040278 0.504704533888379 0.506897087641013
0.48 0.06 0.5 0.5 0.5 0.500000130398445 0.500219520935014 0.501785169155708 0.500397514689679 0.504797868984854 0.506927275326055
0.49 0.06 0.5 0.5 0.5 0.500000126351967 0.500287797432513 0.501974081700183 0.500425616937296 0.504887042326637 0.506956040841334
0.5 0.06 0.5 0.5 0.5 0.500000122591574 0.500373930958998 0.50214983404411 0.500455849027222 0.504972845165669 0.506983535483072
0.01 0.08 0.5 0.5 0.5 0.500000031651489 0.500000031697506 0.500000031911981 0.500003045937914 0.500003059133209 0.500003114369623
0.02 0.08 0.5 0.5 0.5 0.50000006078965 0.500000061389165 0.500000063765533 0.500006128605288 0.500006227849069 0.500006613002302
0.03 0.08 0.5 0.5 0.5 0.500000087548846 0.500000089834987 0.500000098580209 0.500009254511666 0.500009589552093 0.500010865123356
0.04 0.08 0.5 0.5 0.5 0.500000112059764 0.500000117774021 0.500000139495554 0.500012430804842 0.500013241618361 0.500016330999099
0.05 0.08 0.5 0.5 0.5 0.500000134449402 0.500000145947289 0.500000189998235 0.50001566534291 0.500017300325329 0.500023606335411
0.06 0.08 0.5 0.5 0.5 0.500000154841078 0.500000175123059 0.500000254186807 0.500018966775942 0.500021907258803 0.500033482608031
0.07 0.08 0.5 0.5 0.5 0.500000173354443 0.500000206125667 0.500000337094627 0.500022344638693 0.500027237701902 0.500047029505876
0.08 0.08 0.5 0.5 0.5 0.500000190105498 0.500000239869453 0.500000445098134 0.500025809455977 0.500033511685969 0.500065707622787
0.09 0.08 0.5 0.5 0.5 0.500000205206622 0.500000277399829 0.500000586447155 0.500029372862615 0.50004100861686 0.500091521643991
0.1 0.08 0.5 0.5 0.5 0.50000021876661 0.500000319944177 0.500000771967372 0.500033047740147 0.500050086697186 0.500127225939138
0.11 0.08 0.5 0.5 0.5 0.50000023089072 0.500000368976162 0.500001016004011 0.500036848372848 0.500061208760576 0.500176594233061
0.12 0.08 0.5 0.5 0.5 0.500000241680726 0.500000426298307 0.500001337702834 0.50004079062598 0.500074976625481 0.500244759768149
0.13 0.08 0.5 0.5 0.5 0.500000251234986 0.500000494149401 0.500001762762713 0.500044892149674 0.500092176650419 0.500338616131005
0.14 0.08 0.5 0.5 0.5 0.500000259648515 0.500000575345753 0.500002325848589 0.50004917261237 0.500113839767635 0.500467231526
0.15 0.08 0.5 0.5 0.5 0.500000267013075 0.500000673468706 0.500003073931109 0.500053653968295 0.500141319722674 0.500642156396944
0.16 0.08 0.5 0.5 0.5 0.500000273417274 0.500000793115643 0.500004070929799 0.500058360764178 0.500176393186877 0.500877383155526
0.17 0.08 0.5 0.5 0.5 0.500000278946679 0.500000940238532 0.50000540419389 0.500063320491109 0.500221384105966 0.501188556598058
0.18 0.08 0.5 0.5 0.5 0.500000283683942 0.500001122603814 0.500007193578184 0.500068563988284 0.500279310754467 0.50159091043306
0.19 0.08 0.5 0.5 0.5 0.500000287708947 0.500001350421354 0.500009604186238 0.50007412590625 0.500354045225066 0.502095518108279
0.2 0.08 0.5 0.5 0.5 0.500000291098968 0.500001637210332 0.500012864292749 0.500080045238179 0.500450458168271 0.502704093875882
0.21 0.08 0.5 0.5 0.5 0.500000293928847 0.500002000998972 0.500017290559861 0.50008636592863 0.50057449268391 0.503403879433185
0.22 0.08 0.5 0.5 0.5 0.500000296271206 0.500002465997379 0.500023323464872 0.500093137570062 0.500733068609588 0.504165476211725
0.23 0.08 0.5 0.5 0.5 0.500000298196668 0.500003064944344 0.500031576872587 0.500100416198069 0.500933669060129 0.5049463169438
0.24 0.08 0.5 0.5 0.5 0.50000029977412 0.50000384241928 0.50004290685343 0.500108265196569 0.501183432641262 0.505699769686066
0.25 0.08 0.5 0.5 0.5 0.500000301071004 0.500004859542516 0.500058505922846 0.500116756323938 0.501487627332248 0.506386132229004
0.26 0.08 0.5 0.5 0.5 0.500000302153652 0.500006200680607 0.500080029210818 0.500125970869842 0.501847596862338 0.506980397237379
0.27 0.08 0.5 0.5 0.5 0.500000303087666 0.500007983055417 0.500109757215525 0.500136000949848 0.502258677523295 0.507474032834625
0.28 0.08 0.5 0.5 0.5 0.500000303938353 0.500010370564136 0.500150792884159 0.500146950940102 0.502709025579808 0.507871732368694
0.29 0.08 0.5 0.5 0.5 0.500000304771234 0.500013593700386 0.500207273783023 0.500158939046431 0.503180369119718 0.508186057804881
0.3 0.08 0.5 0.5 0.5 0.500000305652626 0.500017978278601 0.500284545823293 0.500172098989967 0.503651024096501 0.508432520966187
0.31 0.08 0.5 0.5 0.5 0.500000306650332 0.500023986746976 0.500389186696317 0.500186581773098 0.504100286734284 0.50862625829199
0.32 0.08 0.5 0.5 0.5 0.500000307834444 0.500032277207695 0.50052868890154 0.500202557463265 0.504512430562057 0.508780327990436
0.33 0.08 0.5 0.5 0.5 0.500000309278302 0.500043786640836 0.500710551354774 0.500220216895335 0.50487878437807 0.508905166483483
0.34 0.08 0.5 0.5 0.5 0.500000311059628 0.500059845597789 0.500940582965812 0.500239773143625 0.505197524668419 0.5090086982006
0.35 0.08 0.5 0.5 0.5 0.500000313261905 0.500082330184791 0.501220534653755 0.500261462549638 0.505471910465468 0.509096729030223
0.36 0.08 0.5 0.5 0.5 0.500000315976025 0.500113850094794 0.501545790052235 0.500285545010127 0.505708047337874 0.509173406695152
0.37 0.08 0.5 0.5 0.5 0.500000319302318 0.500157952558962 0.501904431189861 0.500312303133428 0.505912979531784 0.509241643179098
0.38 0.08 0.5 0.5 0.5 0.500000323353027 0.500219282338938 0.502278833534346 0.50034203976614 0.506093429206256 0.509303460893981
0.39 0.08 0.5 0.5 0.5 0.500000328255383 0.500303569956444 0.50264964113076 0.500375073290913 0.506255153168066 0.509360258177204
0.4 0.08 0.5 0.5 0.5 0.500000334155434 0.500417234968055 0.503000361475298 0.500411730024818 0.506402741123594 0.509413004142293
0.41 0.08 0.5 0.5 0.5 0.500000341222854 0.500566350004813 0.503320420748694 0.500452333047157 0.506539669858024 0.509462377163793
0.42 0.08 0.5 0.5 0.5 0.500000349657041 0.500754853710831 0.503605707192161 0.500497186913334 0.50666847428243 0.509508860857565
0.43 0.08 0.5 0.5 0.5 0.500000359694895 0.500982371370056 0.503857172939659 0.500546558037901 0.506790949683033 0.509552809232345
0.44 0.08 0.5 0.5 0.5 0.50000037162084 0.501242681181135 0.504078730146365 0.50060065112395 0.506908340635402 0.509594490135114
0.45 0.08 0.5 0.5 0.5 0.500000385779832 0.501524114710406 0.50427540418378 0.500659582914531 0.507021498243394 0.509634113784238
0.46 0.08 0.5 0.5 0.5 0.500000402594407 0.501812296072987 0.504452126562316 0.500723355703664 0.507131001913035 0.509671851276897
0.47 0.08 0.5 0.5 0.5 0.50000042258722 0.502093995124046 0.50461313561033 0.500791834297489 0.507237248870775 0.509707846488016
0.48 0.08 0.5 0.5 0.5 0.500000446411125 0.502360062144229 0.504761794612184 0.500864731122945 0.507340517273746 0.50974222369234
0.49 0.08 0.5 0.5 0.5 0.500000474889747 0.502606266264088 0.504900638116369 0.500941604468253 0.507441009118302 0.509775092464752
0.5 0.08 0.5 0.5 0.5 0.500000509072739 0.502832359054445 0.505031513642218 0.501021873925134 0.507538878463057 0.509806550873608
0.01 0.1 0.5 0.5 0.5 0.500000031654786 0.500000031728183 0.500000032070562 0.50000304675852 0.500003067823245 0.500003156184279
0.02 0.1 0.5 0.5 0.5 0.500000060829277 0.500000061787934 0.50000006560444 0.50000613483413 0.500006293819182 0.500006915049591
