"k" "s" "SR"
0.4225 0.015 0.500000334521592
0.425 0.015 0.500000333704144
0.4275 0.015 0.500000332858977
0.43 0.015 0.500000331985923
0.4325 0.015 0.500000331084819
0.435 0.015 0.500000330155506
0.4375 0.015 0.500000329197828
0.44 0.015 0.500000328211634
0.4425 0.015 0.500000327196778
0.445 0.015 0.500000326153119
0.4475 0.015 0.500000325080519
0.45 0.015 0.500000323978849
0.4525 0.015 0.500000322847983
0.455 0.015 0.500000321687801
0.4575 0.015 0.50000032049819
0.46 0.015 0.500000319279043
0.4625 0.015 0.500000318030258
0.465 0.015 0.500000316751743
0.4675 0.015 0.500000315443411
0.47 0.015 0.500000314105183
0.4725 0.015 0.500000312736986
0.475 0.015 0.500000311338756
0.4775 0.015 0.500000309910438
0.48 0.015 0.500000308451984
0.4825 0.015 0.500000306963354
0.485 0.015 0.500000305444519
0.4875 0.015 0.500000303895455
0.49 0.015 0.500000302316152
0.4925 0.015 0.500000300706606
0.495 0.015 0.500000299066824
0.4975 0.015 0.500000297396823
0.5 0.015 0.50000029569663
0.0025 0.02 0.500000008155639
0.005 0.02 0.500000016148571
0.0075 0.02 0.500000023982622
0.01 0.02 0.500000031661571
0.0125 0.02 0.50000003918915
0.015 0.02 0.500000046569043
0.0175 0.02 0.500000053804889
0.02 0.02 0.500000060900278
0.0225 0.02 0.500000067858756
0.025 0.02 0.500000074683819
0.0275 0.02 0.50000008137892
0.03 0.02 0.500000087947461
0.0325 0.02 0.500000094392802
0.035 0.02 0.500000100718255
0.0375 0.02 0.500000106927086
0.04 0.02 0.500000113022514
0.0425 0.02 0.500000119007714
0.045 0.02 0.500000124885814
0.0475 0.02 0.500000130659897
0.05 0.02 0.500000136333001
0.0525 0.02 0.500000141908118
0.055 0.02 0.500000147388195
0.0575 0.02 0.500000152776135
0.06 0.02 0.500000158074795
0.0625 0.02 0.50000016328699
0.065 0.02 0.500000168415488
0.0675 0.02 0.500000173463015
0.07 0.02 0.500000178432251
0.0725 0.02 0.500000183325836
0.075 0.02 0.500000188146363
0.0775 0.02 0.500000192896384
0.08 0.02 0.500000197578407
0.0825 0.02 0.5000002021949
0.085 0.02 0.500000206748284
0.0875 0.02 0.500000211240943
0.09 0.02 0.500000215675217
0.0925 0.02 0.500000220053403
0.095 0.02 0.500000224377759
0.0975 0.02 0.500000228650502
0.1 0.02 0.500000232873808
0.1025 0.02 0.500000237049812
0.105 0.02 0.500000241180609
0.1075 0.02 0.500000245268256
0.11 0.02 0.500000249314769
0.1125 0.02 0.500000253322126
0.115 0.02 0.500000257292267
0.1175 0.02 0.500000261227091
0.12 0.02 0.500000265128461
0.1225 0.02 0.500000268998203
0.125 0.02 0.500000272838105
0.1275 0.02 0.500000276649917
0.13 0.02 0.500000280435354
0.1325 0.02 0.500000284196094
0.135 0.02 0.50000028793378
0.1375 0.02 0.500000291650019
0.14 0.02 0.500000295346382
0.1425 0.02 0.500000299024408
0.145 0.02 0.5000003026856
0.1475 0.02 0.500000306331426
0.15 0.02 0.500000309963324
0.1525 0.02 0.500000313582695
0.155 0.02 0.500000317190911
0.1575 0.02 0.500000320789309
0.16 0.02 0.500000324379196
0.1625 0.02 0.500000327961847
0.165 0.02 0.500000331538505
0.1675 0.02 0.500000335110384
0.17 0.02 0.500000338678668
0.1725 0.02 0.50000034224451
0.175 0.02 0.500000345809034
0.1775 0.02 0.500000349373336
0.18 0.02 0.500000352938483
0.1825 0.02 0.500000356505515
0.185 0.02 0.500000360075442
0.1875 0.02 0.50000036364925
0.19 0.02 0.500000367227896
0.1925 0.02 0.500000370812313
0.195 0.02 0.500000374403406
0.1975 0.02 0.500000378002055
0.2 0.02 0.500000381609117
0.2025 0.02 0.500000385225423
0.205 0.02 0.50000038885178
0.2075 0.02 0.500000392488971
0.21 0.02 0.500000396137758
0.2125 0.02 0.500000399798877
0.215 0.02 0.500000403473046
0.2175 0.02 0.500000407160957
0.22 0.02 0.500000410863283
0.2225 0.02 0.500000414580676
0.225 0.02 0.500000418313766
0.2275 0.02 0.500000422063165
0.23 0.02 0.500000425829463
0.2325 0.02 0.500000429613233
0.235 0.02 0.500000433415028
0.2375 0.02 0.500000437235383
0.24 0.02 0.500000441074814
0.2425 0.02 0.500000444933822
0.245 0.02 0.500000448812889
0.2475 0.02 0.500000452712479
0.25 0.02 0.500000456633043
0.2525 0.02 0.500000460575014
0.255 0.02 0.50000046453881
0.2575 0.02 0.500000468524834
0.26 0.02 0.500000472533473
0.2625 0.02 0.500000476565102
0.265 0.02 0.50000048062008
0.2675 0.02 0.500000484698754
0.27 0.02 0.500000488801458
0.2725 0.02 0.50000049292851
0.275 0.02 0.50000049708022
0.2775 0.02 0.500000501256883
0.28 0.02 0.500000505458784
0.2825 0.02 0.500000509686194
0.285 0.02 0.500000513939377
0.2875 0.02 0.500000518218581
0.29 0.02 0.50000052252405
0.2925 0.02 0.500000526856012
0.295 0.02 0.500000531214689
0.2975 0.02 0.500000535600292
0.3 0.02 0.500000540013023
0.3025 0.02 0.500000544453077
0.305 0.02 0.500000548920637
0.3075 0.02 0.500000553415881
0.31 0.02 0.500000557938977
0.3125 0.02 0.500000562490087
0.315 0.02 0.500000567069362
0.3175 0.02 0.500000571676952
0.32 0.02 0.500000576312993
0.3225 0.02 0.500000580977619
0.325 0.02 0.500000585670957
0.3275 0.02 0.500000590393125
0.33 0.02 0.500000595144239
0.3325 0.02 0.500000599924405
0.335 0.02 0.500000604733727
0.3375 0.02 0.5000006095723
0.34 0.02 0.500000614440216
0.3425 0.02 0.500000619337562
0.345 0.02 0.500000624264419
0.3475 0.02 0.500000629220863
0.35 0.02 0.500000634206966
0.3525 0.02 0.500000639222796
0.355 0.02 0.500000644268415
0.3575 0.02 0.500000649343882
0.36 0.02 0.500000654449252
0.3625 0.02 0.500000659584573
0.365 0.02 0.500000664749892
0.3675 0.02 0.500000669945252
0.37 0.02 0.50000067517069
0.3725 0.02 0.500000680426241
