"G" "X" "Y" "O" "A" "D"
245 0.442175145114315 7.61327052960442e-07 0.557989701417465 0.555449658620199 0.0825431815086568
246 0.441998250209507 6.71574924537195e-07 0.558166683695703 0.555285814291946 0.082949896414455
247 0.441823477898767 5.9219565634349e-07 0.558341533362983 0.555123059097679 0.0833519270708111
248 0.441650815790825 5.2201784499727e-07 0.558514263971788 0.554961409079219 0.0837492955033898
249 0.441480250975546 4.59998807913047e-07 0.558684889464779 0.554800879534598 0.0841420250387932
250 0.441311770053872 4.05210895535475e-07 0.55885342415857 0.554641485021273 0.0845301402370343
251 0.4411453591669 3.56829201513793e-07 0.559019882726945 0.554483239360434 0.0849136668257969
252 0.440981004024123 3.14120535168796e-07 0.559184280183661 0.55432615564234 0.0852926316364962
253 0.440818689930814 2.76433532902154e-07 0.559346631864966 0.554170246232629 0.085667062542147
254 0.440658401814555 2.4318979648388e-07 0.559506953411938 0.554015522779509 0.0860369883970421
255 0.440500124250919 2.13875956498837e-07 0.559665260752752 0.553861996221786 0.08640243897824
256 0.440343841488304 1.8803656870501e-07 0.559821570084959 0.553709676797658 0.0867634449288534
257 0.440189537471924 1.65267759718969e-07 0.559975897857857 0.553558574054211 0.0871200377031316
258 0.440037195866969 1.45211546357957e-07 0.560128260755014 0.553408696857563 0.08747224951332
259 0.439886800080942 1.2755076019037e-07 0.560278675677023 0.553260053403601 0.0878201132782828
260 0.439738333285178 1.12004515430593e-07 0.56042715972451 0.553112651229243 0.0881636625738663
261 0.439591778435567 9.83241643104745e-08 0.560573730181467 0.552966497224192 0.088502931584983
262 0.439447118292483 8.62896895151289e-08 0.560718404498929 0.552821597643121 0.0888379550593904
263 0.439304335439948 7.57064882291882e-08 0.560861200279037 0.552677958118238 0.0891687682631384
264 0.439163412304026 6.64025068420007e-08 0.561002135259505 0.552535583672194 0.089495406937655
265 0.43902433117048 5.8225689444669e-08 0.561141227298524 0.55239447873128 0.0898179072584434
266 0.438887074201701 5.1041706953601e-08 0.5612784943601 0.552254647138891 0.0901363057953549
267 0.438751623452923 4.47319370472169e-08 0.561413954499862 0.552116092169187 0.0904506394744077
268 0.438617960887747 3.91916681349549e-08 0.561547625851338 0.551978816540944 0.0907609455411168
269 0.438486068392992 3.43285033188033e-08 0.561679526612698 0.551842822431539 0.0910672615252989
270 0.438355927792878 3.00609427831417e-08 0.561809675033989 0.55170811149105 0.09136962520732
271 0.438227520862582 2.63171252825329e-08 0.561938089404839 0.551574684856425 0.0916680745857464
272 0.43810082934116 2.30337114112212e-08 0.56206478804265 0.551442543165706 0.0919626478463651
273 0.437975834943872 2.01548931525926e-08 0.562189789281265 0.551311686572269 0.0922533833325364
274 0.43785251937392 1.7631515840245e-08 0.562313111460106 0.551182114759054 0.0925403195168414
275 0.437730864333611 1.54203001315176e-08 0.562434772913783 0.551053826952773 0.0928234949739882
276 0.437610851534987 1.34831529148494e-08 0.562554791962165 0.550926821938057 0.0931029483549414
277 0.437492462709897 1.17865572583249e-08 0.562673186900899 0.550801098071532 0.0933787183622349
278 0.437375679619584 1.0301032571151e-08 0.562789975992378 0.550676653295804 0.0936508437264359
279 0.437260484063749 9.00065710436997e-09 0.562905177457141 0.550553485153322 0.0939193631837211
280 0.43714685788915 7.86264577257897e-09 0.563018809465698 0.550431590800126 0.0941843154545313
281 0.437034782997735 6.86697704454712e-09 0.56313089013077 0.550310967019442 0.0944457392232679
282 0.436924241354325 5.99606333626935e-09 0.563241437499928 0.55019161023512 0.0947036731189979
283 0.436815214993872 5.23445995320651e-09 0.563350469548633 0.550073516524906 0.094958155697133
284 0.436707686028296 4.56860817653305e-09 0.563458004173642 0.549956681633525 0.0952092254220476
285 0.436601636652931 3.9866085777489e-09 0.563564059186794 0.549841100985576 0.0954569206506064
286 0.436497049152582 3.47802108298648e-09 0.563668652309148 0.549726769698227 0.0957012796165648
287 0.436393905907216 3.03368869816055e-09 0.563771801165466 0.549613682593691 0.0959423404158152
288 0.4362921893973 2.6455821536437e-09 0.563873523279027 0.549501834211491 0.0961801409924433
289 0.436191882208795 2.30666303680547e-09 0.563973836066765 0.549391218820497 0.0964147191255695
290 0.436092967037832 2.01076325649622e-09 0.564072756834719 0.549281830430736 0.0966461124169412
291 0.435995426695064 1.7524789289584e-09 0.56417030277377 0.54917366280496 0.0968743582792503
292 0.435899244109732 1.52707699292566e-09 0.564266490955682 0.549066709469985 0.0970994939251468
293 0.435804402333432 1.33041305571211e-09 0.5643613383294 0.548960963727774 0.0973215563569212
294 0.435710884543615 1.15885914449868e-09 0.564454861717629 0.548856418666288 0.0975405823568294
295 0.435618674046821 1.00924019012064e-09 0.564547077813654 0.548753067170077 0.0977566084780342
296 0.435527754281664 8.78778206541448e-10 0.564638003178416 0.548650901930632 0.0979696710361386
297 0.435438108821573 7.65043249736374e-10 0.564727654237807 0.548549915456478 0.098179806101287
298 0.435349721377307 6.65910346583436e-10 0.564816047280202 0.548450100083024 0.098387049490809
299 0.435262575799251 5.7952167907061e-10 0.564903198454197 0.548351447982157 0.098591436762386
300 0.435176656079501 5.0425339302036e-10 0.564989123766552 0.548253951171585 0.0987930032077154
301 0.435091946353751 4.38686474805374e-10 0.565073839080334 0.548157601523939 0.0989917838466532
302 0.43500843090299 3.81581205255074e-10 0.56515736011324 0.548062390775616 0.0991878134218138
303 0.434926094155018 3.31854758087477e-10 0.5652397024361 0.547968310535381 0.099381126393606
304 0.434844920685787 2.88561561598732e-10 0.565320881471555 0.547875352292726 0.0995717569356875
305 0.434764895220584 2.50876087763454e-10 0.565400912492886 0.547783507425982 0.0997597389308185
306 0.434686002635056 2.18077773020322e-10 0.565479810623009 0.547692767210195 0.0999451059670961
307 0.434608227956077 1.89537810442266e-10 0.565557590833603 0.547603122824762 0.100127891334553
308 0.434531556362495 1.64707584255471e-10 0.565634267944391 0.547514565360835 0.100308128022101
309 0.434455973185722 1.43108545253349e-10 0.565709856622543 0.547427085828494 0.100485848714813
310 0.434381463910215 1.24323349974462e-10 0.565784371382207 0.547340675163687 0.100661085791506
311 0.434308014173829 1.07988107953573e-10 0.565857826584162 0.547255324234956 0.100833871322644
312 0.434235609768055 9.37856002467976e-11 0.565930236435583 0.54717102384993 0.101004237068507
313 0.434164236638155 8.14393490715172e-11 0.56600161498991 0.547087764761613 0.101172214477648
