"k" "t" "SR"
0.3475 0.01 0.500000000105721
0.35 0.01 0.500000000103662
0.3525 0.01 0.50000000010162
0.355 0.01 0.500000000099595
0.3575 0.01 0.500000000097587
0.36 0.01 0.500000000095598
0.3625 0.01 0.500000000093626
0.365 0.01 0.500000000091674
0.3675 0.01 0.50000000008974
0.37 0.01 0.500000000087826
0.3725 0.01 0.500000000085931
0.375 0.01 0.500000000084056
0.3775 0.01 0.500000000082201
0.38 0.01 0.500000000080367
0.3825 0.01 0.500000000078554
0.385 0.01 0.500000000076761
0.3875 0.01 0.50000000007499
0.39 0.01 0.50000000007324
0.3925 0.01 0.500000000071512
0.395 0.01 0.500000000069806
0.3975 0.01 0.500000000068122
0.4 0.01 0.50000000006646
0.4025 0.01 0.500000000064821
0.405 0.01 0.500000000063204
0.4075 0.01 0.50000000006161
0.41 0.01 0.500000000060039
0.4125 0.01 0.50000000005849
0.415 0.01 0.500000000056965
0.4175 0.01 0.500000000055463
0.42 0.01 0.500000000053984
0.4225 0.01 0.500000000052529
0.425 0.01 0.500000000051097
0.4275 0.01 0.500000000049688
0.43 0.01 0.500000000048303
0.4325 0.01 0.500000000046941
0.435 0.01 0.500000000045603
0.4375 0.01 0.500000000044288
0.44 0.01 0.500000000042997
0.4425 0.01 0.500000000041729
0.445 0.01 0.500000000040485
0.4475 0.01 0.500000000039264
0.45 0.01 0.500000000038067
0.4525 0.01 0.500000000036893
0.455 0.01 0.500000000035743
0.4575 0.01 0.500000000034615
0.46 0.01 0.500000000033511
0.4625 0.01 0.50000000003243
0.465 0.01 0.500000000031371
0.4675 0.01 0.500000000030335
0.47 0.01 0.500000000029323
0.4725 0.01 0.500000000028332
0.475 0.01 0.500000000027364
0.4775 0.01 0.500000000026419
0.48 0.01 0.500000000025495
0.4825 0.01 0.500000000024594
0.485 0.01 0.500000000023714
0.4875 0.01 0.500000000022856
0.49 0.01 0.500000000022019
0.4925 0.01 0.500000000021203
0.495 0.01 0.500000000020408
0.4975 0.01 0.500000000019635
0.5 0.01 0.500000000018881
0.0025 0.015 0.500000000012554
0.005 0.015 0.500000000024777
0.0075 0.015 0.500000000036679
0.01 0.015 0.500000000048268
0.0125 0.015 0.500000000059551
0.015 0.015 0.500000000070539
0.0175 0.015 0.500000000081237
0.02 0.015 0.500000000091654
0.0225 0.015 0.500000000101797
0.025 0.015 0.500000000111675
0.0275 0.015 0.500000000121292
0.03 0.015 0.500000000130658
0.0325 0.015 0.500000000139777
0.035 0.015 0.500000000148658
0.0375 0.015 0.500000000157306
0.04 0.015 0.500000000165727
0.0425 0.015 0.500000000173928
0.045 0.015 0.500000000181914
0.0475 0.015 0.500000000189692
0.05 0.015 0.500000000197266
0.0525 0.015 0.500000000204642
0.055 0.015 0.500000000211825
0.0575 0.015 0.500000000218821
0.06 0.015 0.500000000225634
0.0625 0.015 0.50000000023227
0.065 0.015 0.500000000238732
0.0675 0.015 0.500000000245026
0.07 0.015 0.500000000251156
0.0725 0.015 0.500000000257125
0.075 0.015 0.500000000262939
0.0775 0.015 0.500000000268602
0.08 0.015 0.500000000274116
0.0825 0.015 0.500000000279487
0.085 0.015 0.500000000284717
0.0875 0.015 0.500000000289811
0.09 0.015 0.500000000294771
0.0925 0.015 0.500000000299602
0.095 0.015 0.500000000304306
0.0975 0.015 0.500000000308886
0.1 0.015 0.500000000313346
0.1025 0.015 0.500000000317688
0.105 0.015 0.500000000321916
0.1075 0.015 0.500000000326032
0.11 0.015 0.500000000330039
0.1125 0.015 0.500000000333939
0.115 0.015 0.500000000337735
0.1175 0.015 0.500000000341429
0.12 0.015 0.500000000345024
0.1225 0.015 0.500000000348522
0.125 0.015 0.500000000351924
0.1275 0.015 0.500000000355235
0.13 0.015 0.500000000358454
0.1325 0.015 0.500000000361584
0.135 0.015 0.500000000364628
0.1375 0.015 0.500000000367586
0.14 0.015 0.500000000370461
0.1425 0.015 0.500000000373255
0.145 0.015 0.500000000375968
0.1475 0.015 0.500000000378604
0.15 0.015 0.500000000381162
0.1525 0.015 0.500000000383645
0.155 0.015 0.500000000386054
0.1575 0.015 0.50000000038839
0.16 0.015 0.500000000390655
0.1625 0.015 0.50000000039285
0.165 0.015 0.500000000394976
0.1675 0.015 0.500000000397034
0.17 0.015 0.500000000399026
0.1725 0.015 0.500000000400952
0.175 0.015 0.500000000402814
0.1775 0.015 0.500000000404613
0.18 0.015 0.500000000406349
0.1825 0.015 0.500000000408023
0.185 0.015 0.500000000409637
0.1875 0.015 0.500000000411191
0.19 0.015 0.500000000412686
0.1925 0.015 0.500000000414122
0.195 0.015 0.500000000415502
0.1975 0.015 0.500000000416824
0.2 0.015 0.50000000041809
0.2025 0.015 0.500000000419301
0.205 0.015 0.500000000420457
0.2075 0.015 0.500000000421559
0.21 0.015 0.500000000422607
0.2125 0.015 0.500000000423603
0.215 0.015 0.500000000424545
0.2175 0.015 0.500000000425436
0.22 0.015 0.500000000426275
0.2225 0.015 0.500000000427063
0.225 0.015 0.5000000004278
0.2275 0.015 0.500000000428487
0.23 0.015 0.500000000429125
0.2325 0.015 0.500000000429713
0.235 0.015 0.500000000430252
0.2375 0.015 0.500000000430742
0.24 0.015 0.500000000431184
0.2425 0.015 0.500000000431578
0.245 0.015 0.500000000431924
0.2475 0.015 0.500000000432223
0.25 0.015 0.500000000432475
0.2525 0.015 0.50000000043268
0.255 0.015 0.500000000432838
0.2575 0.015 0.50000000043295
0.26 0.015 0.500000000433017
0.2625 0.015 0.500000000433037
0.265 0.015 0.500000000433012
0.2675 0.015 0.500000000432941
0.27 0.015 0.500000000432825
0.2725 0.015 0.500000000432665
0.275 0.015 0.50000000043246
0.2775 0.015 0.50000000043221
0.28 0.015 0.500000000431915
0.2825 0.015 0.500000000431577
0.285 0.015 0.500000000431195
0.2875 0.015 0.500000000430768
0.29 0.015 0.500000000430299
0.2925 0.015 0.500000000429785
0.295 0.015 0.500000000429229
0.2975 0.015 0.500000000428629
0.3 0.015 0.500000000427987
0.3025 0.015 0.500000000427301
0.305 0.015 0.500000000426573
0.3075 0.015 0.500000000425803
0.31 0.015 0.50000000042499
0.3125 0.015 0.500000000424135
