"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
78 0.249930986178562 0.249716632644964 0.250053460806362 0.249829028761266 1.02315936774168e-06 0.000116449742843717 3.06947810322503e-06 0.00034934922853115
79 0.249929472583309 0.249709911657917 0.250054809748509 0.249824932591086 1.0477751573266e-06 0.000119170579637275 3.14332547197981e-06 0.000357511738911826
80 0.24992792443072 0.249703034736573 0.250056190376614 0.249820741126303 1.07293933317108e-06 0.000121954393114471 3.21881799951323e-06 0.000365863179343413
81 0.249926340955201 0.249695998322009 0.250057603430075 0.249816452180801 1.09866515383379e-06 0.000124802612824643 3.29599546150137e-06 0.000374407838473928
82 0.249924721375522 0.249688798776939 0.250059049665422 0.249812063519765 1.124966144996e-06 0.000127716699443402 3.37489843498799e-06 0.000383150098330205
83 0.249923064894553 0.24968143238412 0.250060529856701 0.249807572858652 1.15185610567025e-06 0.000130698145387716 3.45556831701074e-06 0.000392094436163148
84 0.249921370699001 0.249673895344738 0.250062044795877 0.249802977862165 1.1793491144853e-06 0.000133748475440133 3.53804734345589e-06 0.0004012454263204
85 0.249919637959146 0.249666183776753 0.250063595293231 0.249798276143197 1.20745953604798e-06 0.000136869247382124 3.62237860814395e-06 0.000410607742146373
86 0.249917865828575 0.249658293713236 0.250065182177776 0.249793465261758 1.23620202738286e-06 0.000140062052636517 3.70860608214858e-06 0.000420186157909551
87 0.249916053443913 0.249650221100667 0.250066806297679 0.249788542723887 1.26559154445032e-06 0.00014332851691898 3.79677463335095e-06 0.000429985550756941
88 0.249914199924561 0.249641961797211 0.250068468520694 0.249783505980544 1.29564334874373e-06 0.000146670300898507 3.88693004623118e-06 0.000440010902695522
89 0.249912304372426 0.24963351157097 0.250070169734597 0.249778352426483 1.32637301396611e-06 0.000150089100866835 3.97911904189834e-06 0.000450267302600504
90 0.249910365871654 0.2496248660982 0.250071910847643 0.249773079399105 1.35779643278676e-06 0.000153586649416719 4.07338929836027e-06 0.000460759948250157
91 0.249908383488364 0.249616020961517 0.250073692789017 0.249767684177291 1.38992982367798e-06 0.000157164716128986 4.16978947103393e-06 0.000471494148386958
92 0.24990635627038 0.249606971648059 0.250075516509313 0.249762163980225 1.42278973783222e-06 0.000160825108268242 4.26836921349667e-06 0.000482475324804727
93 0.249904283246968 0.249597713547633 0.250077382981003 0.249756515966183 1.45639306615959e-06 0.000164569671487135 4.36917919847877e-06 0.000493709014461405
94 0.249902163428569 0.249588241950837 0.250079293198933 0.249750737231318 1.49075704636555e-06 0.000168400290539025 4.47227113909666e-06 0.000505200871617075
95 0.24989999580654 0.249578552047149 0.250081248180821 0.249744824808414 1.52589927010878e-06 0.000172318889998918 4.57769781032633e-06 0.000516956669996755
96 0.249897779352887 0.249568638922991 0.250083248967766 0.249738775665625 1.5618376902386e-06 0.000176327434992492 4.68551307071578e-06 0.000528982304977477
97 0.249895513020011 0.249558497559776 0.250085296624768 0.249732586705199 1.59859062811165e-06 0.000180427931933026 4.79577188433495e-06 0.000541283795799077
98 0.24989319574045 0.249548122831921 0.250087392241263 0.249726254762177 1.63617678098701e-06 0.00018462242926603 4.90853034296103e-06 0.00055386728779809
99 0.249890826426626 0.249537509504837 0.250089536931662 0.249719776603071 1.67461522949897e-06 0.000188913018221352 5.02384568849692e-06 0.000566739054664057
100 0.249888403970594 0.249526652232895 0.250091731835907 0.249713148924533 1.71392544520651e-06 0.000193301833572505 5.14177633561954e-06 0.000579905500717515
101 0.249885927243796 0.249515545557371 0.250093978120036 0.249706368351992 1.75412729821823e-06 0.000197791054402949 5.26238189465468e-06 0.000593373163208848
102 0.249883395096823 0.249504183904361 0.250096276976759 0.249699431438282 1.79524106489143e-06 0.000202382904879047 5.3857231946743e-06 0.000607148714637141
103 0.249880806359173 0.249492561582676 0.250098629626048 0.249692334662243 1.83728743560383e-06 0.000207079655029353 5.51186230681148e-06 0.000621238965088058
104 0.249878159839023 0.249480672781715 0.250101037315738 0.249685074427313 1.880287522596e-06 0.000211883621529914 5.64086256778801e-06 0.000635650864589741
105 0.249875454323005 0.249468511569314 0.250103501322139 0.249677647060089 1.92426286788287e-06 0.000216797168495204 5.7727886036486e-06 0.000650391505485613
106 0.249872688575982 0.249456071889574 0.250106022950662 0.249670048808879 1.96923545123172e-06 0.000221822708274295 5.90770635369516e-06 0.000665468124822885
107 0.249869861340843 0.249443347560666 0.250108603536458 0.249662275842232 2.0152276982047e-06 0.000226962702251837 6.04568309461409e-06 0.000680888106755512
108 0.249866971338297 0.249430332272621 0.250111244445067 0.249654324247448 2.06226248826281e-06 0.000232219661653405 6.18678746478844e-06 0.000696658984960214
109 0.249864017266676 0.249417019585094 0.250113947073084 0.249646190029076 2.11036316292884e-06 0.000237596148354698 6.33108948878652e-06 0.000712788445064093
110 0.249860997801753 0.249403402925114 0.250116712848833 0.249637869107388 2.15955353400576e-06 0.000243094775694104 6.47866060201728e-06 0.000729284327082313
111 0.249857911596565 0.249389475584816 0.250119543233062 0.249629357316837 2.20985789184745e-06 0.00024871820928805 6.62957367554236e-06 0.000746154627864149
112 0.249854757281249 0.249375230719154 0.250122439719644 0.249620650404504 2.26130101367787e-06 0.000254469167848551 6.7839030410336e-06 0.000763407503545653
113 0.249851533462889 0.2493606613436 0.250125403836295 0.249611744028519 2.31390817195474e-06 0.00026035042400235 6.94172451586422e-06 0.000781051272007051
114 0.249848238725375 0.249345760331831 0.250128437145306 0.249602633756474 2.36770514277351e-06 0.000266364805110958 7.10311542832054e-06 0.000799094415332875
115 0.249844871629277 0.249330520413396 0.250131541244292 0.249593315063814 2.42271821430686e-06 0.000272515194090905 7.26815464292058e-06 0.000817545582272716
116 0.249841430711736 0.249314934171383 0.250134717766946 0.24958378333222 2.4789741952749e-06 0.000278804530233451 7.4369225858247e-06 0.000836413590700353
117 0.249837914486361 0.249298994040061 0.250137968383821 0.24957403384797 2.53650042344079e-06 0.000285235810022966 7.60950127032236e-06 0.000855707430068897
118 0.249834321443154 0.249282692302528 0.250141294803115 0.249564061800293 2.59532477412607e-06 0.000291812087953146 7.7859743223782e-06 0.000875436263859439
119 0.249830650048446 0.24926602108834 0.250144698771478 0.2495538622797 2.65547566873979e-06 0.000298536477340189 7.96642700621937e-06 0.000895609432020568
120 0.24982689874485 0.249248972371142 0.250148182074829 0.249543430276318 2.71698208331498e-06 0.000305412151131989 8.15094624994492e-06 0.000916236453395967
121 0.249823065951244 0.249231537966291 0.250151746539193 0.249532760678194 2.77987355704569e-06 0.00031244234271239 8.33962067113707e-06 0.00093732702813717
122 0.249819150062761 0.249213709528482 0.250155394031553 0.249521848269603 2.84418020081753e-06 0.000319630346699457 8.53254060245258e-06 0.000958891040098372
123 0.249815149450812 0.249195478549371 0.250159126460711 0.249510687729337 2.90993270572389e-06 0.000326979519736691 8.72979811717166e-06 0.000980938559210072
124 0.249811062463129 0.249176836355199 0.250162945778174 0.249499273628988 2.97716235156e-06 0.000334493281276043 8.93148705468e-06 0.00100347984382813
125 0.249806887423834 0.249157774104426 0.25016685397905 0.249487600431223 3.04590101528619e-06 0.000342175114351554 9.13770304585858e-06 0.00102652534305466
126 0.249802622633531 0.249138282785367 0.250170853102963 0.249475662488051 3.11618117945146e-06 0.000350028566342344 9.34854353835438e-06 0.00105008569902703
127 0.249798266369435 0.249118353213843 0.25017494523498 0.249463454039084 3.18803594056785e-06 0.000358057249723671 9.56410782170354e-06 0.00107417174917101
128 0.249793816885515 0.24909797603084 0.250179132506562 0.249450969209795 3.26149901742572e-06 0.00036626484280467 9.78449705227717e-06 0.00109879452841401
129 0.249789272412689 0.249077141700182 0.250183417096519 0.249438202009767 3.3366047593395e-06 0.000374655090451345 1.00098142780185e-05 0.00112396527135404
130 0.24978463115903 0.249055840506231 0.250187801232001 0.249425146330948 3.41338815431277e-06 0.000383231804793318 1.02401644629383e-05 0.00114969541437995
131 0.249779891310025 0.249034062551596 0.250192287189481 0.249411795945898 3.49188483711133e-06 0.000391998865912775 1.0475654511334e-05 0.00117599659773832
132 0.249775051028858 0.249011797754877 0.250196877295778 0.249398144506042 3.5721310972321e-06 0.000400960222513966 1.07163932916963e-05 0.0012028806675419
133 0.249770108456737 0.248989035848429 0.250201573929083 0.249384185539918 3.6541638867551e-06 0.000410119892571577 1.09624916602653e-05 0.00123035967771473
134 0.249765061713258 0.248965766376162 0.250206379520004 0.249369912451438 3.73802082806544e-06 0.000419481963956181 1.12140624841963e-05 0.00125844589186854
135 0.249759908896816 0.248941978691375 0.250211296552634 0.24935531851815 3.82374022143126e-06 0.00042905059503494 1.14712206642938e-05 0.00128715178510482
136 0.249754648085053 0.248917661954627 0.250216327565627 0.249340396889501 3.91136105242329e-06 0.00043883001524564 1.17340831572699e-05 0.00131649004573692
137 0.249749277335358 0.248892805131652 0.250221475153301 0.249325140585125 4.00092299916092e-06 0.000448824525642048 1.20027689974827e-05 0.00134647357692614
138 0.249743794685412 0.248867396991321 0.25022674196675 0.249309542493125 4.09246643936889e-06 0.000459038499408544 1.22773993181067e-05 0.00137711549822563
139 0.249738198153786 0.248841426103657 0.250232130714978 0.249293595368382 4.1860324572284e-06 0.000469476382341867 1.25580973716852e-05 0.0014084291470256
140 0.249732485740589 0.248814880837903 0.250237644166048 0.249277291830869 4.28166285000536e-06 0.000480142693297749 1.28449885500161e-05 0.00144042807989325
141 0.249726655428171 0.248787749360649 0.250243285148249 0.249260624363992 4.37940013443808e-06 0.00049104202460013 1.31382004033142e-05 0.00147312607380039
142 0.249720705181889 0.248760019634031 0.25024905655128 0.249243585312946 4.47928755286598e-06 0.000502179042410572 1.34378626585979e-05 0.00150653712723172
143 0.249714632950925 0.248731679413994 0.250254961327452 0.249226166883091 4.58136907908006e-06 0.00051355848705539 1.37441072372402e-05 0.00154067546116617
144 0.249708436669175 0.248702716248632 0.250261002492903 0.249208361138363 4.68568942387527e-06 0.00052518517330796 1.40570682716258e-05 0.00157555551992388
145 0.249702114256192 0.248673117476614 0.250267183128837 0.249190159999702 4.7922940402841e-06 0.000537063990623556 1.43768821208523e-05 0.00161119197187067
146 0.249695663618212 0.248642870225687 0.250273506382771 0.24917155524352 4.90122912847014e-06 0.000549199903324008 1.47036873854104e-05 0.00164759970997202
147 0.249689082649235 0.248611961411282 0.25027997546981 0.249152538500195 5.01254164025929e-06 0.000561597950729364 1.50376249207779e-05 0.00168479385218809
148 0.249682369232188 0.248580377735212 0.250286593673923 0.249133101252609 5.12627928328605e-06 0.000574263247233687 1.53788378498581e-05 0.00172278974170106
149 0.249675521240167 0.248548105684475 0.250293364349251 0.24911323483472 5.2424905247309e-06 0.000587200982321998 1.57274715741927e-05 0.00176160294696599
150 0.249668536537747 0.248515131530173 0.250300290921419 0.24909293043018 5.36122459462472e-06 0.000600416420525321 1.60836737838742e-05 0.00180124926157596
151 0.249661412982385 0.248481441326541 0.250307376888874 0.249072179071002 5.48253148869497e-06 0.000613914901310703 1.64475944660849e-05 0.00184174470393211
152 0.249654148425902 0.248447020910108 0.250314625824226 0.249050971636269 5.60646197072758e-06 0.000627701838902967 1.68193859121827e-05 0.0018831055167089
153 0.249646740716054 0.248411855898982 0.250322041375617 0.249029298850909 5.73306757441824e-06 0.000641782722034931 1.71992027232547e-05 0.00192534816610479
154 0.249639187698196 0.248375931692284 0.250329627268095 0.249007151284516 5.86240060468526e-06 0.000656163113622694 1.75872018140558e-05 0.00196848934086808
