"k" "s" "DF"
0.01 0.025 5.9698743647505e-05
0.01 0.0275 6.07658561518249e-05
0.01 0.03 6.18609608519333e-05
0.01 0.0325 6.29853868957477e-05
0.01 0.035 6.41403828925992e-05
0.01 0.0375 6.53271808496002e-05
0.01 0.04 6.65470215162597e-05
0.01 0.0425 6.78011662414354e-05
0.01 0.045 6.90909036957876e-05
0.01 0.0475 7.04175544001444e-05
0.01 0.05 7.17824741877317e-05
0.01 0.0525 7.31870570864477e-05
0.01 0.055 7.46327378603841e-05
0.01 0.0575 7.61209943439388e-05
0.01 0.06 7.76533496502443e-05
0.01 0.0625 7.923137430769e-05
0.01 0.065 8.0856688361402e-05
0.01 0.0675 8.25309634659934e-05
0.01 0.07 8.42559249887888e-05
0.01 0.0725 8.60333541377243e-05
0.01 0.075 8.78650901249349e-05
0.01 0.0775 8.97530323743586e-05
0.01 0.08 9.16991427800307e-05
0.01 0.0825 9.37054480204447e-05
0.01 0.085 9.57740419331681e-05
0.01 0.0875 9.79070879533313e-05
0.01 0.09 0.000100106821618785
0.01 0.0925 0.000102375553144284
0.01 0.095 0.000104715670066637
0.01 0.0975 0.000107129639962166
0.01 0.1 0.000109620013237731
0.01 0.1025 0.00011218942599579
0.01 0.105 0.000114840602974058
0.01 0.1075 0.000117576360559484
0.01 0.11 0.000120399609876115
0.01 0.1125 0.00012331335994595
0.01 0.115 0.000126320720921192
0.01 0.1175 0.00012942490738607
0.01 0.12 0.000132629241725531
0.01 0.1225 0.000135937157557582
0.01 0.125 0.000139352203225419
0.01 0.1275 0.000142878045344409
0.01 0.13 0.000146518472398445
0.01 0.1325 0.000150277398378907
0.01 0.135 0.000154158866458521
0.01 0.1375 0.00015816705269128
0.01 0.14 0.000162306269727957
0.01 0.1425 0.000166580970535713
0.01 0.145 0.000170995752108166
0.01 0.1475 0.000175555359150932
0.01 0.15 0.000180264687725484
0.01 0.1525 0.000185128788831846
0.01 0.155 0.00019015287190867
0.01 0.1575 0.000195342308226054
0.01 0.16 0.000200702634144183
0.01 0.1625 0.000206239554207155
0.01 0.165 0.000211958944038298
0.01 0.1675 0.000217866852999314
0.01 0.17 0.000223969506571404
0.01 0.1725 0.000230273308412266
0.01 0.175 0.000236784842037556
0.01 0.1775 0.000243510872070322
0.01 0.18 0.000250458344996103
0.01 0.1825 0.000257634389354707
0.01 0.185 0.000265046315293343
0.01 0.1875 0.0002727016133977
0.01 0.19 0.000280607952710057
0.01 0.1925 0.00028877317783456
0.01 0.195 0.000297205305020182
0.01 0.1975 0.000305912517102351
0.01 0.2 0.000314903157172614
0.01 0.2025 0.000324185720834811
0.01 0.205 0.000333768846893129
0.01 0.2075 0.000343661306304454
0.01 0.21 0.000353871989213284
0.01 0.2125 0.000364409889872142
0.01 0.215 0.000375284089234968
0.01 0.2175 0.000386503734993781
0.01 0.22 0.000398078018811575
0.01 0.2225 0.000410016150486206
0.01 0.225 0.000422327328760324
0.01 0.2275 0.000435020708473646
0.01 0.23 0.000448105363732765
0.01 0.2325 0.000461590246753676
0.01 0.235 0.000475484142011696
0.01 0.2375 0.000489795615312275
0.01 0.24 0.000504532957377052
0.01 0.2425 0.000519704121519466
0.01 0.245 0.000535316654966796
0.01 0.2475 0.000551377623369658
0.01 0.25 0.000567893528025696
0.01 0.2525 0.000584870215334976
0.01 0.255 0.000602312777997729
0.01 0.2575 0.000620225447465097
0.01 0.26 0.000638611477158477
0.01 0.2625 0.000657473015987052
0.01 0.265 0.000676810971716372
0.01 0.2675 0.000696624863773759
0.01 0.27 0.000716912665125322
0.01 0.2725 0.000737670632920492
0.01 0.275 0.000758893127681245
0.01 0.2775 0.000780572420914646
0.01 0.28 0.000802698491150505
0.01 0.2825 0.000825258808558323
0.01 0.285 0.000848238108477258
0.01 0.2875 0.000871618154407355
0.01 0.29 0.000895377491261264
0.01 0.2925 0.000919491189965176
0.01 0.295 0.000943930584833617
0.01 0.2975 0.000968663005521629
0.01 0.3 0.000993651505789731
0.01 0.3025 0.0010188545917959
0.01 0.305 0.00104422595316296
0.01 0.3075 0.00106971420065389
0.01 0.31 0.00109526261492081
0.01 0.3125 0.00112080891147429
0.01 0.315 0.00114628502773695
0.01 0.3175 0.0011716169387934
0.01 0.32 0.00119672450921375
0.01 0.3225 0.00122152138908752
0.01 0.325 0.00124591496314683
0.01 0.3275 0.0012698063625419
0.01 0.33 0.00129309054943769
0.01 0.3325 0.00131565648507985
0.01 0.335 0.0013373873922878
0.01 0.3375 0.00135816112342878
0.01 0.34 0.00137785064473984
0.01 0.3425 0.00139632464735117
0.01 0.345 0.00141344829444618
0.01 0.3475 0.00142908411262183
0.01 0.35 0.00144309303362097
0.01 0.3525 0.00145533559014567
