"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y"
45 0.20182629975934 0.294260986538429 0.202636767068708 0.294998802762955 8.95474040382325e-06 0.00156033122723796 2.68642212114698e-05 0.00468099368171389
46 0.201770254897991 0.294041399878159 0.202637523060318 0.294830249723897 9.07131617275297e-06 0.00167107179373595 2.72139485182589e-05 0.00501321538120786
47 0.201710377724355 0.293806768923598 0.20263834926124 0.294650131625585 9.21499712797664e-06 0.00178937811917768 2.76449913839299e-05 0.00536813435753305
48 0.201646434366052 0.293556149870672 0.202639255122479 0.294457714889151 9.38688475217758e-06 0.00191572455315927 2.81606542565327e-05 0.00574717365947781
49 0.201578180040722 0.293288551606448 0.202640251262903 0.294252228124543 9.58816366365421e-06 0.00205060907768219 2.87644909909626e-05 0.00615182723304656
50 0.201505359063573 0.293002935085577 0.202641349611457 0.294032861440714 9.82010355705358e-06 0.00219455359611246 2.94603106711607e-05 0.00658366078833737
51 0.201427704945742 0.292698212987859 0.202642563564417 0.293798765947617 1.00840609393348e-05 0.00234810407765189 3.02521828180044e-05 0.00704431223295566
52 0.201344940597518 0.292373249706174 0.202643908158758 0.293549053485979 1.03814806074249e-05 0.00251183053228502 3.11444418222746e-05 0.00753549159685507
53 0.201256778651481 0.292026861718175 0.20264540026268 0.293282796624098 1.07138968083972e-05 0.00268632678908303 3.21416904251916e-05 0.00805898036724909
54 0.201162921921509 0.291657818399067 0.202647058784242 0.292999028964025 1.10829340173185e-05 0.00287221004877185 3.32488020519556e-05 0.00861663014631554
55 0.201063064014406 0.291264843336392 0.202648904898947 0.292696745802465 1.14903072622997e-05 0.00307012017968534 3.44709217868992e-05 0.00921036053905603
56 0.200956890111422 0.290846616210773 0.202650962296918 0.292374905194335 1.19378219209021e-05 0.00328071872471694 3.58134657627062e-05 0.00984215617415083
57 0.200844077937273 0.29040177530888 0.202653257450092 0.292032429469072 1.2427372907084e-05 0.00350468758576368 3.72821187212519e-05 0.010514062757291
58 0.200724298934169 0.289928920736185 0.202655819899511 0.29166820725129 1.29609431635389e-05 0.00374272735154791 3.88828294906167e-05 0.0112281820546437
59 0.200597219657904 0.289426618397128 0.202658682562429 0.29128109603809 1.35406013708308e-05 0.0039955552347415 4.06218041124925e-05 0.0119866657042245
60 0.200462503412061 0.288893404808834 0.202661882058429 0.290869925384924 1.41684987824626e-05 0.00426390258515546 4.25054963473877e-05 0.0127917077554664
61 0.200319812134759 0.288327792811132 0.202665459053178 0.290433500750337 1.48468650942329e-05 0.00454851194755417 4.45405952826986e-05 0.0136455358426625
62 0.200168808550098 0.287728278230113 0.202669458617722 0.289970608046749 1.55780032572871e-05 0.00485013363557194 4.67340097718613e-05 0.0145504009067158
63 0.200009158593331 0.287093347544391 0.20267393060044 0.289480018939589 1.6364283147502e-05 0.00516952179741475 4.90928494425061e-05 0.0155085653922443
64 0.199840534114872 0.286421486592348 0.202678930007811 0.288960496930236 1.72081340096255e-05 0.00550742995467378 5.16244020288766e-05 0.0165222898640213
65 0.199662615863329 0.285711190344744 0.202684517389123 0.288410804249208 1.81120356032654e-05 0.00586460600279586 5.43361068097962e-05 0.0175938180083876
66 0.199475096741912 0.284960973749783 0.20269075921911 0.28782970957463 1.90785079897073e-05 0.00624178667065166 5.72355239691218e-05 0.018725360011955
67 0.199277685325722 0.284169383637126 0.202697728271256 0.287215996577151 2.01100999139036e-05 0.00663969144727228 6.03302997417109e-05 0.0199190743418168
68 0.199070109619654 0.283335011643286 0.202705503973215 0.286568473276066 2.12093757550046e-05 0.00705901599618995 6.36281272650139e-05 0.0211770479885698
69 0.198852121027951 0.282456508093503 0.202714172734485 0.285885982172537 2.23789010415771e-05 0.00750042509183943 6.71367031247312e-05 0.0225012752755183
70 0.198623498497144 0.281532596744957 0.202723828235145 0.285167411104578 2.36212265541284e-05 0.00796454512798968 7.08636796623852e-05 0.023893635383969
71 0.198384052784113 0.280562090263423 0.202734571663269 0.284411704745287 2.49388710675053e-05 0.00845195626490949 7.48166132025158e-05 0.0253558687947285
72 0.198133630790927 0.279543906271097 0.202746511887499 0.283617876641022 2.63343028187692e-05 0.00896318429954527 7.90029084563075e-05 0.0268895528986358
73 0.197872119898029 0.278477083768135 0.202759765550418 0.282785021660519 2.78099198216577e-05 0.00949869236090316 8.3429759464973e-05 0.0284960770827095
74 0.197599452217761 0.277360799695757 0.202774457067794 0.281912328700081 2.9368029185901e-05 0.0100588725504658 8.8104087557703e-05 0.0301766176513974
75 0.197315608681695 0.27619438537592 0.202790718518542 0.280999093464845 3.10108256374414e-05 0.0106440376641121 9.30324769123241e-05 0.0319321129923362
76 0.197020622868092 0.274977342533149 0.202808689410598 0.280044731122917 3.27403694727661e-05 0.0112544131468383 9.82211084182982e-05 0.033763239440515
77 0.196714584470799 0.273709358579805 0.202828516308718 0.279048788608882 3.45585642157188e-05 0.0118901294437332 0.000103675692647156 0.0356703883311996
78 0.196397642308346 0.272390320828608 0.202850352311703 0.278010956337225 3.64671342767811e-05 0.0125512149192529 0.000109401402830343 0.0376536447577587
79 0.196070006772538 0.271020329287279 0.20287435636872 0.276931079075571 3.84676029413618e-05 0.0132375895210315 0.000115402808824085 0.0397127685630945
80 0.195731951619818 0.269599707691177 0.202900692427274 0.275809165723681 4.05612710335607e-05 0.0139490593634792 0.000121683813100682 0.0418471780904374
81 0.19538381501634 0.268129012442025 0.202929528408924 0.274645397747579 4.27491966137914e-05 0.0146853123996693 0.000128247589841374 0.0440559371990079
82 0.195025999759293 0.266609039145015 0.202961035013108 0.273440136029917 4.5032176071366e-05 0.0154459153370954 0.000135096528214098 0.0463377460112861
83 0.194658972612347 0.265040826473007 0.202995384354189 0.272193925917928 4.74107269658063e-05 0.0162303119336664 0.000142232180897419 0.0486909358009992
84 0.194283262712036 0.263425657134892 0.203032748442071 0.270907500279207 4.98850729527831e-05 0.0170378227849955 0.000149655218858349 0.0511134683549865
85 0.193899459023851 0.261765055784484 0.203073297522213 0.26958178041251 5.24551311021997e-05 0.017867646683133 0.000157365393306599 0.0536029400493992
86 0.193508206851169 0.260060783774888 0.203117198296338 0.268217874704981 5.51205018775377e-05 0.0187188635912785 0.000165361505632613 0.0561565907738356
87 0.193110203425936 0.258314830738902 0.203164612050486 0.266817074977308 5.78804619981693e-05 0.0195904392398439 0.000173641385994508 0.0587713177195317
88 0.19270619263629 0.256529403055901 0.203215692721847 0.265380850512575 6.07339603514044e-05 0.0204812313079954 0.000182201881054213 0.0614436939239862
89 0.19229695897183 0.254706909346563 0.203270584939962 0.263910839820935 6.36796170604691e-05 0.0213899971131168 0.000191038851181407 0.0641699913393504
90 0.191883320790933 0.252849943215437 0.203329422081005 0.262408840248548 6.67157257505832e-05 0.0223154026902687 0.00020014717725175 0.066946208070806
91 0.19146612303519 0.250961263534259 0.20339232437586 0.260876795593045 6.9840258990208e-05 0.0232560331064214 0.000209520776970624 0.0697680993192641
92 0.191046229532801 0.249043772622949 0.203459397113328 0.25931678193704 7.30508768207599e-05 0.0242104038216499 0.00021915263046228 0.0726312114649498
93 0.190624515044648 0.247100492737613 0.203530728979049 0.257730991953701 7.63449382279399e-05 0.0251769728830192 0.00022903481468382 0.0755309186490576
94 0.190201857213441 0.245134541313402 0.203606390568481 0.256121717972604 7.97195153533744e-05 0.0261541537176646 0.000239158546060123 0.0784624611529939
95 0.189779128577277 0.24314910543339 0.203686433108659 0.25449133411862 8.31714101982095e-05 0.0271403282803152 0.000249514230594628 0.0814209848409456
96 0.189357188804427 0.241147416002048 0.203770887418573 0.252842277850771 8.66971735319221e-05 0.0281338603075135 0.000260091520595766 0.0844015809225406
97 0.188936877296295 0.239132722093564 0.203859763132068 0.251177031231548 9.02931256907158e-05 0.0291331084359406 0.000270879377072147 0.0873993253078219
98 0.188519006291023 0.237108265922299 0.203953048200367 0.249498102250537 9.39553789307502e-05 0.030136438955013 0.000281866136792251 0.090409316865039
99 0.188104354581837 0.235077258846582 0.204050708684072 0.247808006509944 9.76798609919768e-05 0.0311422379833992 0.00029303958297593 0.0934267139501975
100 0.187693661942997 0.233042858770224 0.204152688836941 0.2461092495552 0.000101462339527945 0.0321489228841318 0.000304387018583836 0.0964467686523954
101 0.187287624333081 0.231008149250973 0.204258911476396 0.244404310102485 0.000105298447064726 0.0331549527622017 0.000315895341194178 0.099464858286605
102 0.186886889921515 0.228976120564626 0.20436927862867 0.242695624378691 0.000109183706166937 0.0341588379204575 0.00032755111850081 0.102476513761372
103 0.186492055960597 0.226949652910258 0.204483672430167 0.240985571749615 0.000113113554509494 0.0351591481828315 0.000339340663528483 0.105477444548494
104 0.186103666502842 0.224931501878821 0.204601956261157 0.239276461770927 0.000117083369578807 0.0361545200269846 0.00035125010873642 0.108463560080954
105 0.185722210943013 0.222924286246506 0.204723976083457 0.23757052275525 0.000121088492755385 0.0371436625001882 0.000363265478266155 0.111430987500564
106 0.185348123346213 0.220930478097712 0.204849561950443 0.235869891909018 0.000125124252560052 0.0381253619215936 0.000375372757680157 0.114376085764781
107 0.184981782508484 0.218952395231862 0.204978529655608 0.234176607055743 0.000129185986876983 0.0390984854001989 0.00038755796063095 0.117295456200597
108 0.184623512684551 0.216992195764619 0.20511068248486 0.232492599929033 0.00013326906399781 0.0400619832202365 0.000399807191993429 0.120185949660709
109 0.184273584908813 0.215051874798031 0.205245813037827 0.230819690989582 0.000137368902361159 0.0410148901640755 0.000412106707083477 0.123044670492226
110 0.183932218830269 0.213133263005896 0.20538370508452 0.229159585695982 0.000141480988890759 0.0419563258569424 0.000424442966672276 0.125868977570827
111 0.183599584979611 0.211238026960092 0.205524135425559 0.227513872139586 0.000145600895862099 0.0428854942279258 0.000436802687586297 0.128656482683777
112 0.183275807386789 0.209367671010352 0.205666875726758 0.225884019938816 0.000149724296252414 0.0438016821880686 0.000449172888757241 0.131405046564206
113 0.182960966469753 0.207523540523201 0.205811694301941 0.224271380277911 0.000153846977551154 0.0447042576292475 0.000461540932653461 0.134112772887742
114 0.182655102119196 0.205706826284887 0.205958357821307 0.222677186968866 0.000157964854028183 0.0455926668474075 0.000473894562084548 0.136778000542223
115 0.18235821690971 0.203918569877076 0.206106632926318 0.221102558412737 0.000162073977474577 0.046466431491065 0.000486221932423732 0.139399294473195
116 0.182070279374332 0.202159669841978 0.206256287735748 0.219548500337024 0.000166170546446232 0.047325145131283 0.000498511639338697 0.141975435393849
117 0.181791227286655 0.200430888464615 0.206407093231229 0.218015909189049 0.000170250914053569 0.0481684695430596 0.000510752742160707 0.144505408629179
118 0.181520970902176 0.198732859013089 0.206558824514054 0.21650557607052 0.00017431159435161 0.0489961307806884 0.00052293478305483 0.146988392342065
119 0.181259396118097 0.197066093292441 0.206711261928278 0.215018191105367 0.000178349267393694 0.0498079151215605 0.000535047802181083 0.149423745364682
120 0.181006367518086 0.19543098938313 0.206864192048049 0.213554348140939 0.000182360783019273 0.0506036649444297 0.00054708234905782 0.151810994833289
121 0.180761731275477 0.19382783945086 0.207017408529749 0.212114549691472 0.00018634316345173 0.0513832745996585 0.00055902949035519 0.154149823798976
122 0.180525317894783 0.192256837529984 0.207170712831705 0.210699212041856 0.000190293604786147 0.0521466863206318 0.00057088081435844 0.156440058961895
123 0.180296944777221 0.190718087197554 0.207323914806152 0.209308670439013 0.000194209477449538 0.0528938862175655 0.000582628432348613 0.158681658652696
124 0.18007641860113 0.189211609069166 0.207476833169602 0.207943184307321 0.00019808832571744 0.0536249003874777 0.000594264977152321 0.160874701162433
125 0.179863537512638 0.187737348060683 0.207629295858968 0.20660294243331 0.000201927866371044 0.0543397911672295 0.000605783599113132 0.163019373501689
126 0.179658093125759 0.18629518037178 0.207781140281651 0.205288068073171 0.000205725986578342 0.0550386535503314 0.000617177959735027 0.165115960650994
127 0.179459872334335 0.184884920157855 0.207932213468343 0.203998623944408 0.000209480741081313 0.0557216117826833 0.000628442223243939 0.16716483534805
128 0.179268658940757 0.183506325866204 0.20808237213766 0.202734617070058 0.000213190348768897 0.0563888161475614 0.000639571046306692 0.169166448442684
129 0.179084235108516 0.182159106220562 0.208231482681763 0.201496003450413 0.000216853188712755 0.0570404399459739 0.000650559566138265 0.171121319837922
130 0.178906382647117 0.18084292584513 0.208379421082108 0.200282692542936 0.000220467795739477 0.0576766766749377 0.00066140338721843 0.173030030024813
131 0.178734884139069 0.179557410525116 0.20852607276417 0.199094551536218 0.000224032855609262 0.0582977374032475 0.000672098566827787 0.174893212209742
132 0.178569523919328 0.178302152105838 0.208671332399652 0.197931409408303 0.00022754719986709 0.0589038483418526 0.000682641599601271 0.176711545025558
133 0.178410088918062 0.177076713036407 0.208815103664274 0.196793060763586 0.00023100980042824 0.0594952486039896 0.00069302940128472 0.178485745811969
134 0.178256369377692 0.175880630567334 0.208957298958651 0.195679269445814 0.000234419763955694 0.0600721881486719 0.000703259291867081 0.180216564446016
135 0.17810815945514 0.174713420613871 0.209097839099281 0.194589771927511 0.000237776326082577 0.0606349258999668 0.00071332897824773 0.1819047776999
136 0.177965257719954 0.17357458129885 0.209236652986033 0.193524280478465 0.000241078845528399 0.0611837280336465 0.000723236536585197 0.183551184100939
137 0.177827467558586 0.172463596190152 0.209373677251935 0.192482486117814 0.00024432679815352 0.0617188664222245 0.00073298039446056 0.185156599266674
138 0.177694597494671 0.171379937248848 0.209508855900498 0.191464061355796 0.000247519770991999 0.0622406172290546 0.000742559312975998 0.186721851687164
139 0.177566461434539 0.17032306750461 0.209642139935185 0.190468662732383 0.000250657456298883 0.062749259642022 0.000751972368896647 0.188247778926066
140 0.177442878846654 0.169292443475192 0.209773486985125 0.189495933160965 0.00025373964564398 0.063245074737372 0.000761218936931941 0.189735224212116
141 0.177323674883019 0.168287517346764 0.20990286093062 0.188545504085835 0.000256766224080435 0.0637283444643599 0.000770298672241305 0.19118503339308
142 0.177208680449961 0.167307738931604 0.210030231531498 0.187616997462704 0.000259737164412755 0.0641993507416454 0.000779211493238264 0.192598052224936
143 0.177097732235084 0.166352557419264 0.210155574060916 0.186710027571697 0.000262652521585642 0.0646583746566742 0.000787957564756927 0.193975123970022
144 0.176990672696571 0.165421422936776 0.210278868946784 0.185824202672399 0.000265512427211771 0.0651056957596558 0.000796537281635314 0.195317087278967
145 0.176887350020416 0.16451378793282 0.210400101422618 0.184959126510464 0.000268317084253748 0.0655415914441666 0.000804951252761243 0.1966247743325
146 0.176787618050608 0.163629108400098 0.210519261189244 0.184114399685213 0.000271066761872781 0.0659663364068364 0.000813200285618343 0.197899009220509
147 0.176691336196761 0.162766844949378 0.210636342088521 0.18328962088739 0.00027376179045412 0.0663802021790335 0.00082128537136236 0.1991406065371
148 0.176598369323187 0.16192646374795 0.210751341789909 0.182484388016014 0.000276402556817042 0.066783456723918 0.000829207670451126 0.200350370171754
149 0.176508587622954 0.16110743733441 0.210864261490538 0.181698299182907 0.000278989499615147 0.0671763640926826 0.00083696849884544 0.201529092278048
150 0.176421866480044 0.160309245320936 0.210975105629147 0.180930953613155 0.000281523104930857 0.0675591841342486 0.00084456931479257 0.202677552402746
151 0.176338086322336 0.159531374993472 0.21108388161415 0.180181952449329 0.000284003902066392 0.0679321722531118 0.000852011706199176 0.203796516759336
152 0.176257132467797 0.15877332181945 0.211190599565876 0.179450899466958 0.00028643245953202 0.0682955792104478 0.000859297378596058 0.204886737631343
153 0.176178894965945 0.158034589872017 0.211295272072922 0.178737401708269 0.00028880938123109 0.0686496509639808 0.00086642814369327 0.205948952891942
154 0.176103268436345 0.157314692179006 0.211397913962446 0.178041070040865 0.000291135302840264 0.068994628542494 0.000873405908520791 0.206983885627482
155 0.176030151905668 0.156613151004265 0.211498542084127 0.177361519647563 0.000293410888382335 0.0693307479512117 0.000880232665147004 0.207992243853635
156 0.175959448644586 0.155929498068326 0.211597175107449 0.176698370453235 0.000295636826988247 0.0696582401046128 0.00088691048096474 0.208974720313838
157 0.1758910660056 0.155263274714824 0.211693833331905 0.176051247494114 0.00029781382984418 0.069977330783545 0.00089344148953254 0.209931992350635
158 0.175824915262701 0.154614032028529 0.211788538509674 0.175419781234638 0.000299942627318994 0.0702882406137954 0.000899827881956981 0.210864721841386
159 0.175760911453609 0.153981330910336 0.211881313680285 0.174803607836558 0.00030202396626684 0.0705911850635363 0.00090607189880052 0.211773555190609
160 0.175698973225192 0.153364742114102 0.211972183016756 0.174202369384693 0.000304058607499361 0.0708863744573152 0.000912175822498082 0.212659123371946
161 0.17563902268256 0.152763846249766 0.212061171682696 0.173615714073376 0.000306047323421589 0.0711740140044787 0.000918141970264767 0.213522042013436
162 0.175580985242218 0.152178233756782 0.212148305699825 0.173043296357352 0.000307990895825446 0.0714543038401305 0.000923972687476338 0.214362911520391
163 0.175524789489545 0.151607504851513 0.212233611825376 0.172484777070574 0.000309890113834566 0.0717274390769134 0.000929670341503698 0.21518231723074
164 0.175470367040847 0.151051269451918 0.212317117438867 0.171939823516074 0.000311745771994094 0.0719936098660792 0.000935237315982283 0.215980829598238
165 0.175417652410088 0.150509147082501 0.212398850437698 0.171408109529844 0.000313558668499047 0.0722530014664682 0.000940676005497142 0.216759004399404
166 0.175366582880424 0.14998076676222 0.212478839141065 0.170889315521411 0.000315329603554831 0.0725057943201651 0.000945988810664493 0.217517382960495
167 0.17531709838055 0.14946576687781 0.212557112201702 0.17038312849356 0.000317059377863565 0.0727521641337309 0.000951178133590694 0.218256492401193
168 0.175269141365878 0.148963795044673 0.212633698524958 0.169889242043462 0.000318748791229916 0.0729922819640274 0.000956246373689749 0.218976845892082
169 0.175222656704503 0.148474507957322 0.212708627194738 0.169407356347272 0.000320398641280278 0.0732263143077608 0.000961195923840834 0.219678942923282
170 0.175177591567893 0.147997571231124 0.212781927405881 0.168937178130074 0.000322009722289225 0.0734544231939677 0.000966029166867676 0.220363269581903
171 0.175133895326225 0.147532659236919 0.212853628402519 0.168478420622877 0.000323582824107368 0.0736767662787578 0.000970748472322103 0.221030298836273
172 0.175091519448254 0.147079454929911 0.212923759422037 0.168030803508249 0.000325118731184848 0.0738934969417026 0.000975356193554544 0.221680490825108
173 0.175050417405612 0.146637649674092 0.212992349644224 0.167594052855981 0.000326618221684944 0.0741047643833379 0.000979854665054833 0.222314293150014
174 0.17501054458139 0.146206943063304 0.213059428145263 0.167167901050088 0.000328082066682405 0.0743107137233062 0.000984246200047213 0.222932141169918
175 0.174971858182886 0.145787042739915 0.213125023856206 0.16675208670831 0.000329511029441342 0.0745114860987292 0.000988533088324027 0.223534458296188
176 0.174934317158358 0.145377664212 0.213189165525601 0.166346354595175 0.000330905864767732 0.0747072187624488 0.000992717594303197 0.224121656287346
177 0.174897882117652 0.144978530669772 0.213251881685977 0.165950455529578 0.000332267318431737 0.0748980451808236 0.000996801955295212 0.224694135542471
178 0.174862515256551 0.144589372801961 0.213313200623879 0.165564146287746 0.000333596126655311 0.0750840951308103 0.00100078837996593 0.225252285392431
179 0.17482818028469 0.144209928612707 0.213373150353201 0.16518718950237 0.000334893015660725 0.0752654947960974 0.00100467904698218 0.225796484388292
180 0.174794842356905 0.143839943239503 0.213431758591536 0.164819353558595 0.000336158701275879 0.0754423668620892 0.00100847610382764 0.226327100586268
181 0.174762468007854 0.143479168772631 0.213489052739335 0.164460412487517 0.000337393888592433 0.0756148306095733 0.0010121816657773 0.22684449182872
182 0.174731025089776 0.143127364076462 0.213545059861624 0.164110145857742 0.000338599271673031 0.075783002006926 0.00101579781501909 0.227349006020778
183 0.174700482713249 0.142784294612979 0.213599806672093 0.163768338665511 0.000339775533304056 0.0759469938007382 0.00101932659991217 0.227840981402215
184 0.174670811190796 0.14244973226778 0.213653319519348 0.163434781223859 0.000340923344790547 0.0761069156047635 0.00102277003437164 0.22832074681429
185 0.174641981983234 0.142123455178821 0.213705624375159 0.163109269051196 0.000342043365790105 0.0762628739871075 0.00102613009737032 0.228788621961323
186 0.174613967648599 0.141805247568076 0.213756746824519 0.162791602759679 0.000343136244182776 0.0764149725555987 0.00102940873254833 0.229244917666796
187 0.174586741793565 0.141494899576308 0.213806712057386 0.162481587943689 0.000344202615974084 0.0765633120412891 0.00103260784792225 0.229689936123867
188 0.174560279027201 0.14119220710105 0.213855544861927 0.162179035068697 0.000345243105228552 0.0767079903800525 0.00103572931568566 0.230123971140158
189 0.174534554916974 0.140896971637941 0.213903269619171 0.161883759360768 0.000346258324031191 0.0768491027922552 0.00103877497209357 0.230547308376766
190 0.174509545946884 0.140609000125458 0.213949910298908 0.161595580696913 0.000347248872474606 0.0769867418604844 0.00104174661742382 0.230960225581453
191 0.174485229477612 0.140328104793139 0.213995490456754 0.161314323496495 0.000348215338669519 0.0771209976053307 0.00104464601600856 0.231362992815992
192 0.174461583708599 0.140054103013311 0.214040033232247 0.161039816613834 0.000349158298776618 0.0772519575592255 0.00104747489632986 0.231755872677676
