"kD" "kA" "DF"
0.32 0.005 3.88781307484816e-08
0.3225 0.005 3.85425368810644e-08
0.325 0.005 3.82104173022387e-08
0.3275 0.005 3.78817360736715e-08
0.33 0.005 3.75564569800729e-08
0.3325 0.005 3.72345435358702e-08
0.335 0.005 3.69159589920317e-08
0.3375 0.005 3.66006663430383e-08
0.34 0.005 3.62886283340159e-08
0.3425 0.005 3.59798074680358e-08
0.345 0.005 3.56741660135579e-08
0.3475 0.005 3.53716660120411e-08
0.35 0.005 3.50722692856907e-08
0.3525 0.005 3.47759374453813e-08
0.355 0.005 3.44826318987118e-08
0.3575 0.005 3.41923138582431e-08
0.36 0.005 3.39049443498567e-08
0.3625 0.005 3.36204842212702e-08
0.365 0.005 3.33388941507205e-08
0.3675 0.005 3.30601346557756e-08
0.37 0.005 3.27841661023108e-08
0.3725 0.005 3.25109487135958e-08
0.375 0.005 3.22404425795718e-08
0.3775 0.005 3.19726076662326e-08
0.38 0.005 3.17074038251812e-08
0.3825 0.005 3.14447908032674e-08
0.385 0.005 3.11847282524307e-08
0.3875 0.005 3.09271757396252e-08
0.39 0.005 3.06720927569064e-08
0.3925 0.005 3.04194387316212e-08
0.395 0.005 3.01691730367461e-08
0.3975 0.005 2.99212550013395e-08
0.4 0.005 2.96756439211214e-08
0.4025 0.005 2.94322990691603e-08
0.405 0.005 2.91911797066764e-08
0.4075 0.005 2.89522450939853e-08
0.41 0.005 2.87154545015013e-08
0.4125 0.005 2.84807672208971e-08
0.415 0.005 2.82481425763251e-08
0.4175 0.005 2.80175399357655e-08
0.42 0.005 2.77889187224554e-08
0.4225 0.005 2.75622384264233e-08
0.425 0.005 2.733745861609e-08
0.4275 0.005 2.71145389499749e-08
0.43 0.005 2.68934391884726e-08
0.4325 0.005 2.66741192057167e-08
0.435 0.005 2.64565390014863e-08
0.4375 0.005 2.62406587132294e-08
0.44 0.005 2.60264386281007e-08
0.4425 0.005 2.58138391950998e-08
0.445 0.005 2.56028210372241e-08
0.4475 0.005 2.53933449637224e-08
0.45 0.005 2.51853719823458e-08
0.4525 0.005 2.49788633116836e-08
0.455 0.005 2.47737803934933e-08
0.4575 0.005 2.45700849050996e-08
0.46 0.005 2.43677387718268e-08
0.4625 0.005 2.41667041794077e-08
0.465 0.005 2.3966943586462e-08
0.4675 0.005 2.37684197369575e-08
0.47 0.005 2.35710956727222e-08
0.4725 0.005 2.3374934745898e-08
0.475 0.005 2.31799006314679e-08
0.4775 0.005 2.29859573397167e-08
0.48 0.005 2.27930692287344e-08
0.4825 0.005 2.26012010168825e-08
0.485 0.005 2.24103177952502e-08
0.4875 0.005 2.22203850400773e-08
0.49 0.005 2.20313686251827e-08
0.4925 0.005 2.18432348343445e-08
0.495 0.005 2.16559503736517e-08
0.4975 0.005 2.14694823838108e-08
0.5 0.005 2.12837984524314e-08
0.0025 0.0075 1.45659839659705e-07
0.005 0.0075 1.45001814338219e-07
0.0075 0.0075 1.44351173797473e-07
0.01 0.0075 1.43707962780843e-07
0.0125 0.0075 1.43072226364747e-07
0.015 0.0075 1.42444009967272e-07
0.0175 0.0075 1.41823359357017e-07
0.02 0.0075 1.41210320662267e-07
0.0225 0.0075 1.40604940380417e-07
0.025 0.0075 1.4000726538768e-07
0.0275 0.0075 1.39417342949132e-07
0.03 0.0075 1.38835220729023e-07
0.0325 0.0075 1.38260946801446e-07
0.035 0.0075 1.37694569661281e-07
0.0375 0.0075 1.37136138235557e-07
0.04 0.0075 1.36585701895059e-07
0.0425 0.0075 1.36043310466368e-07
0.045 0.0075 1.35509014244241e-07
0.0475 0.0075 1.34982864004368e-07
0.05 0.0075 1.34464911016521e-07
0.0525 0.0075 1.33955207058087e-07
0.055 0.0075 1.33453804428049e-07
0.0575 0.0075 1.32960755961353e-07
0.06 0.0075 1.32476115043724e-07
0.0625 0.0075 1.3199993562695e-07
0.065 0.0075 1.31532272244588e-07
0.0675 0.0075 1.31073180028193e-07
0.07 0.0075 1.30622714723987e-07
0.0725 0.0075 1.30180932710075e-07
0.075 0.0075 1.29747891014173e-07
0.0775 0.0075 1.29323647331828e-07
0.08 0.0075 1.2890826004525e-07
0.0825 0.0075 1.28501788242666e-07
0.085 0.0075 1.2810429173828e-07
0.0875 0.0075 1.27715831092829e-07
0.09 0.0075 1.27336467634754e-07
0.0925 0.0075 1.26966263482001e-07
0.095 0.0075 1.26605281564514e-07
0.0975 0.0075 1.2625358564734e-07
0.1 0.0075 1.25911240354519e-07
0.1025 0.0075 1.25578311193601e-07
0.105 0.0075 1.25254864580956e-07
0.1075 0.0075 1.24940967867852e-07
0.11 0.0075 1.24636689367271e-07
0.1125 0.0075 1.24342098381582e-07
0.115 0.0075 1.24057265231027e-07
0.1175 0.0075 1.23782261283055e-07
0.12 0.0075 1.23517158982573e-07
0.1225 0.0075 1.23262031883066e-07
0.125 0.0075 1.23016954678695e-07
0.1275 0.0075 1.22782003237358e-07
0.13 0.0075 1.22557254634732e-07
0.1325 0.0075 1.22342787189358e-07
0.135 0.0075 1.22138680498784e-07
0.1375 0.0075 1.21945015476821e-07
0.14 0.0075 1.21761874391905e-07
0.1425 0.0075 1.21589340906633e-07
0.145 0.0075 1.21427500118495e-07
0.1475 0.0075 1.21276438601881e-07
0.15 0.0075 1.21136244451301e-07
0.1525 0.0075 1.21007007325987e-07
0.155 0.0075 1.20888818495824e-07
0.1575 0.0075 1.20781770888694e-07
0.16 0.0075 1.2068595913926e-07
0.1625 0.0075 1.20601479639272e-07
0.165 0.0075 1.20528430589369e-07
0.1675 0.0075 1.20466912052561e-07
0.17 0.0075 1.20417026009225e-07
0.1725 0.0075 1.2037887641395e-07
0.175 0.0075 1.20352569254009e-07
0.1775 0.0075 1.20338212609719e-07
0.18 0.0075 1.20335916716658e-07
0.1825 0.0075 1.20345794029792e-07
0.185 0.0075 1.20367959289616e-07
0.1875 0.0075 1.20402529590347e-07
0.19 0.0075 1.20449624450274e-07
0.1925 0.0075 1.20509365884278e-07
0.195 0.0075 1.20581878478654e-07
0.1975 0.0075 1.20667289468241e-07
0.2 0.0075 1.2076572881607e-07
0.2025 0.0075 1.2087732929543e-07
0.205 0.0075 1.21002226574581e-07
0.2075 0.0075 1.21140559304181e-07
0.21 0.0075 1.2129246920743e-07
0.2125 0.0075 1.21458101173132e-07
0.215 0.0075 1.21637603351732e-07
0.2175 0.0075 1.218311272544e-07
0.22 0.0075 1.22038827855376e-07
0.2225 0.0075 1.22260863697473e-07
0.225 0.0075 1.22497397001153e-07
0.2275 0.0075 1.22748593776998e-07
0.23 0.0075 1.23014623941954e-07
0.2325 0.0075 1.23295661439242e-07
0.235 0.0075 1.23591884362314e-07
0.2375 0.0075 1.23903475082755e-07
0.24 0.0075 1.24230620382458e-07
0.2425 0.0075 1.24573511590179e-07
0.245 0.0075 1.2493234472251e-07
0.2475 0.0075 1.25307320629656e-07
0.25 0.0075 1.25698645145941e-07
0.2525 0.0075 1.26106529245457e-07
0.255 0.0075 1.26531189202852e-07
0.2575 0.0075 1.26972846759532e-07
0.26 0.0075 1.27431729295482e-07
0.2625 0.0075 1.27908070006957e-07
0.265 0.0075 1.284021080901e-07
0.2675 0.0075 1.28914088930893e-07
0.27 0.0075 1.29444264301596e-07
0.2725 0.0075 1.2999289256393e-07
0.275 0.0075 1.30560238879256e-07
0.2775 0.0075 1.31146575426016e-07
0.28 0.0075 1.31752181624744e-07
0.2825 0.0075 1.32377344370904e-07
0.285 0.0075 1.33022358275879e-07
0.2875 0.0075 1.33687525916436e-07
0.29 0.0075 1.34373158092954e-07
0.2925 0.0075 1.35079574096817e-07
0.295 0.0075 1.35807101987323e-07
0.2975 0.0075 1.36556078878456e-07
0.3 0.0075 1.37326851235911e-07
0.3025 0.0075 1.38119775184852e-07
0.305 0.0075 1.38935216828766e-07
0.3075 0.0075 1.39773552579886e-07
0.31 0.0075 1.4063516950162e-07
0.3125 0.0075 1.41520465663594e-07
0.315 0.0075 1.42429850509661e-07
0.3175 0.0075 1.43363745239526e-07
0.32 0.0075 1.44322583204495e-07
0.3225 0.0075 1.45306810318011e-07
0.325 0.0075 1.46316885481486e-07
0.3275 0.0075 1.47353281026174e-07
0.33 0.0075 1.48416483171675e-07
0.3325 0.0075 1.49506992501861e-07
0.335 0.0075 1.50625324458944e-07
0.3375 0.0075 1.51772009856395e-07
0.34 0.0075 1.52947595411577e-07
0.3425 0.0075 1.54152644299022e-07
0.345 0.0075 1.55387736725134e-07
0.3475 0.0075 1.56653470525292e-07
0.35 0.0075 1.57950461784355e-07
0.3525 0.0075 1.59279345481572e-07
0.355 0.0075 1.6064077616106e-07
0.3575 0.0075 1.62035428628934e-07
0.36 0.0075 1.63463998678193e-07
0.3625 0.0075 1.6492720384279e-07
0.365 0.0075 1.66425784182121e-07
0.3675 0.0075 1.67960503097332e-07
0.37 0.0075 1.69532148180881e-07
0.3725 0.0075 1.71141532100828e-07
0.375 0.0075 1.72789493521652e-07
0.3775 0.0075 1.74476898063134e-07
0.38 0.0075 1.76204639299086e-07
0.3825 0.0075 1.77973639797889e-07
0.385 0.0075 1.79784852206699e-07
0.3875 0.0075 1.81639260381541e-07
0.39 0.0075 1.83537880565378e-07
0.3925 0.0075 1.85481762616463e-07
0.395 0.0075 1.87471991289363e-07
0.3975 0.0075 1.89509687571432e-07
0.4 0.0075 1.91596010077133e-07
0.4025 0.0075 1.93732156503156e-07
0.405 0.0075 1.95919365147514e-07
0.4075 0.0075 1.981589164955e-07
0.41 0.0075 2.00452134875986e-07
0.4125 0.0075 2.02800390191648e-07
0.415 0.0075 2.05205099726546e-07
0.4175 0.0075 2.07667730035539e-07
0.42 0.0075 2.10189798919049e-07
0.4225 0.0075 2.12772877487959e-07
0.425 0.0075 2.15418592323139e-07
0.4275 0.0075 2.18128627734642e-07
0.43 0.0075 2.20904728125501e-07
0.4325 0.0075 2.2374870046585e-07
0.435 0.0075 2.26662416882973e-07
0.4375 0.0075 2.29647817373627e-07
0.44 0.0075 2.32706912645007e-07
0.4425 0.0075 2.35841787091231e-07
0.445 0.0075 2.39054601912614e-07
0.4475 0.0075 2.42347598385669e-07
0.45 0.0075 2.45723101291805e-07
0.4525 0.0075 2.49183522513595e-07
0.455 0.0075 2.52731364807407e-07
0.4575 0.0075 2.56369225762948e-07
0.46 0.0075 2.60099801959443e-07
0.4625 0.0075 2.63925893329784e-07
0.465 0.0075 2.67850407744096e-07
0.4675 0.0075 2.71876365825524e-07
0.47 0.0075 2.76006906011486e-07
0.4725 0.0075 2.80245289873791e-07
0.475 0.0075 2.84594907713625e-07
0.4775 0.0075 2.89059284446183e-07
0.48 0.0075 2.93642085792921e-07
0.4825 0.0075 2.98347124798895e-07
0.485 0.0075 3.03178368694514e-07
0.4875 0.0075 3.08139946121933e-07
0.49 0.0075 3.13236154748555e-07
0.4925 0.0075 3.18471469290322e-07
0.495 0.0075 3.238505499698e-07
0.4975 0.0075 3.29378251435246e-07
0.5 0.0075 3.35059632169905e-07
0.0025 0.01 1.74083016301276e-07
0.005 0.01 1.73940848318994e-07
0.0075 0.01 1.73815590135116e-07
0.01 0.01 1.73707497915925e-07
0.0125 0.01 1.73616833608052e-07
0.015 0.01 1.73543865106056e-07
0.0175 0.01 1.73488866425397e-07
0.02 0.01 1.73452117881116e-07
0.0225 0.01 1.73433906272339e-07
0.025 0.01 1.73434525072872e-07
0.0275 0.01 1.73454274628064e-07
0.03 0.01 1.73493462358199e-07
0.0325 0.01 1.73552402968634e-07
0.035 0.01 1.73631418666924e-07
0.0375 0.01 1.7373083938726e-07
0.04 0.01 1.7385100302233e-07
0.0425 0.01 1.73992255663093e-07
0.045 0.01 1.74154951846558e-07
0.0475 0.01 1.74339454811999e-07
0.05 0.01 1.74546136765852e-07
0.0525 0.01 1.7477537915566e-07
0.055 0.01 1.75027572953382e-07
0.0575 0.01 1.75303118948408e-07
0.06 0.01 1.7560242805069e-07
0.0625 0.01 1.75925921604329e-07
0.065 0.01 1.76274031712034e-07
0.0675 0.01 1.76647201570899e-07
0.07 0.01 1.77045885819849e-07
0.0725 0.01 1.77470550899299e-07
0.075 0.01 1.77921675423464e-07
0.0775 0.01 1.78399750565755e-07
0.08 0.01 1.78905280457868e-07
0.0825 0.01 1.79438782603047e-07
0.085 0.01 1.80000788304041e-07
0.0875 0.01 1.80591843106433e-07
0.09 0.01 1.81212507257858e-07
0.0925 0.01 1.81863356183739e-07
0.095 0.01 1.82544980980343e-07
0.0975 0.01 1.83257988925586e-07
0.1 0.01 1.840030040086e-07
0.1025 0.01 1.84780667478545e-07
0.105 0.01 1.85591638413643e-07
0.1075 0.01 1.86436594311173e-07
0.11 0.01 1.87316231699226e-07
0.1125 0.01 1.88231266771258e-07
0.115 0.01 1.89182436044197e-07
0.1175 0.01 1.90170497041251e-07
0.12 0.01 1.91196229000274e-07
0.1225 0.01 1.92260433608873e-07
0.125 0.01 1.93363935767318e-07
0.1275 0.01 1.94507584380431e-07
0.13 0.01 1.95692253179646e-07
0.1325 0.01 1.96918841576549e-07
0.135 0.01 1.98188275549177e-07
0.1375 0.01 1.99501508562585e-07
0.14 0.01 2.0085952252498e-07
0.1425 0.01 2.02263328781041e-07
0.145 0.01 2.03713969144033e-07
0.1475 0.01 2.05212516968366e-07
0.15 0.01 2.06760078264323e-07
0.1525 0.01 2.0835779285686e-07
0.155 0.01 2.10006835590315e-07
0.1575 0.01 2.11708417581151e-07
0.16 0.01 2.13463787520711e-07
0.1625 0.01 2.15274233030371e-07
0.165 0.01 2.17141082071185e-07
0.1675 0.01 2.19065704410783e-07
0.17 0.01 2.21049513149644e-07
0.1725 0.01 2.2309396630989e-07
0.175 0.01 2.25200568489034e-07
0.1775 0.01 2.27370872581842e-07
0.18 0.01 2.29606481573403e-07
0.1825 0.01 2.31909050406518e-07
0.185 0.01 2.3428028792696e-07
0.1875 0.01 2.36721958910171e-07
0.19 0.01 2.39235886173091e-07
0.1925 0.01 2.41823952775206e-07
0.195 0.01 2.44488104312796e-07
0.1975 0.01 2.47230351310968e-07
0.2 0.01 2.5005277171792e-07
0.2025 0.01 2.52957513506331e-07
0.205 0.01 2.5594679738695e-07
0.2075 0.01 2.59022919639739e-07
0.21 0.01 2.62188255068275e-07
0.2125 0.01 2.65445260083112e-07
0.215 0.01 2.68796475920744e-07
0.2175 0.01 2.72244532004194e-07
0.22 0.01 2.7579214945274e-07
0.2225 0.01 2.79442144747575e-07
0.225 0.01 2.83197433561391e-07
0.2275 0.01 2.87061034759809e-07
0.23 0.01 2.91036074583323e-07
0.2325 0.01 2.95125791018511e-07
0.235 0.01 2.99333538368441e-07
0.2375 0.01 3.03662792031693e-07
