"G" "X" "Y" "A" "D" "O"
168 0.397779141651696 1.18922070011002e-05 0.602208945507183 0.61084903176343 0.292505774831706
169 0.397472923710579 1.00712851393953e-05 0.602516987366862 0.610813747438342 0.29346720350472
170 0.397174684568715 8.52516832358663e-06 0.602816775198055 0.610778808751698 0.294404286057864
171 0.396884201405288 7.21310181712062e-06 0.60310857263443 0.610744235966534 0.295317669651186
172 0.396601257931943 6.10024711799549e-06 0.603392630853332 0.610710047115602 0.296207984028415
173 0.396325644217882 5.15684582772007e-06 0.603669189587766 0.610676258162968 0.297075841898522
174 0.396057156516084 4.35749766562934e-06 0.603938478022989 0.610642883155416 0.297921839321927
175 0.395795597091203 3.68053775825167e-06 0.604200715592072 0.610609934364197 0.298746556099451
176 0.39554077404954 3.10750014415588e-06 0.604456112683073 0.610577422417627 0.29955055616235
177 0.395292501171475 2.62265604764907e-06 0.604704871268904 0.610545356425064 0.300334387961972
178 0.395050597746652 2.21261690726917e-06 0.604947185469627 0.610513744092722 0.301098584857788
179 0.394814888412179 1.8659934139304e-06 0.605183242055662 0.610482591831821 0.30184366550268
180 0.394585202994037 1.57310293466827e-06 0.605413220899337 0.610451904859509 0.302570134224567
181 0.394361376351868 1.32571868604971e-06 0.605637295381276 0.610421687292991 0.303278481403561
182 0.394143248227262 1.11685489027283e-06 0.605855632757244 0.61039194223729 0.303969183843955
183 0.393930663095648 9.40582909532165e-07 0.606068394490388 0.610362671867013 0.304642705140484
184 0.393723470021842 7.9187402205558e-07 0.606275736553129 0.610333877502511 0.305299496038377
185 0.393521522519316 6.66465086987686e-07 0.606477809702438 0.610305559680781 0.305939994786787
186 0.393324678413183 5.60743854664069e-07 0.606674759731697 0.610277718221449 0.306564627485306
187 0.393132799706925 4.71651122515308e-07 0.606866727701967 0.610250352288144 0.307173808423292
188 0.392945752452846 3.96597322700131e-07 0.607053850155078 0.610223460445565 0.307767940411817
189 0.392763406626213 3.33391462613696e-07 0.607236259310654 0.610197040712523 0.3083474151081
190 0.39258563600307 2.80180629913364e-07 0.607414083248888 0.610171090611224 0.308912613332317
191 0.392412318041658 2.35398525220606e-07 0.607587446080676 0.610145607213029 0.309463905376741
192 0.392243333767401 1.97721703132341e-07 0.607756468106453 0.610120587180948 0.310001651307175
193 0.392078567661393 1.66032389974369e-07 0.60792126596496 0.610096026809065 0.310526201256697
194 0.391917907552315 1.39386908703946e-07 0.608081952772943 0.610071922059104 0.311037895711746
195 0.391761244511715 1.16988880905155e-07 0.608238638256719 0.610048268594345 0.311537065790598
196 0.391608472752585 9.81664958923152e-08 0.608391428876374 0.610025061811041 0.31202403351432
197 0.391459489531135 8.23532401469755e-08 0.608540427943285 0.610002296867534 0.312499112070275
198 0.391314195051712 6.90715689388265e-08 0.608685735731564 0.609979968711206 0.312962606068309
199 0.391172492374762 5.79190780054498e-08 0.608827449583941 0.60995807210342 0.313414811789707
200 0.391034287327764 4.85567983192534e-08 0.608965664012564 0.609936601642598 0.313856017429072
201 0.390899488419052 4.06992927552321e-08 0.609100470795092 0.609915551785541 0.314286503329244
202 0.390768006754444 3.4106281195044e-08 0.609231959066458 0.609894916867135 0.314706542209412
203 0.390639755956591 2.85755613919526e-08 0.609360215406612 0.609874691118548 0.315116399386559
204 0.390514652086974 2.39370277559508e-08 0.609485323924517 0.609854868684009 0.315516332990388
205 0.390392613570458 2.00476199444537e-08 0.609607366338655 0.609835443636286 0.3159065941719
206 0.390273561122332 1.67870584911512e-08 0.609726422054255 0.609816409990946 0.316287427305748
207 0.390157417677759 1.40542463030392e-08 0.609842568237457 0.609797761719471 0.316659070186561
208 0.390044108323545 1.17642332449272e-08 0.609955879886576 0.609779492761338 0.31702175421936
209 0.389933560232175 9.84565667763456e-09 0.610066429900636 0.609761597035096 0.317375704604251
210 0.389825702598018 8.23858412075851e-09 0.610174289145325 0.60974406844855 0.317721140515527
211 0.389720466575647 6.89269551668385e-09 0.610279526516492 0.609726900908083 0.318058275275353
212 0.389617785220201 5.76575217375411e-09 0.610382209001323 0.609710088327203 0.318387316522177
213 0.389517593429713 4.82230761533792e-09 0.610482401737307 0.609693624634343 0.318708466374015
214 0.389419827889345 4.03262247360092e-09 0.610580168069082 0.609677503779996 0.319021921586771
215 0.389324427017465 3.37175142654171e-09 0.610675569603279 0.6096617197432 0.31932787370772
216 0.389231330913501 2.81877514178016e-09 0.610768666261434 0.609646266537455 0.319626509224323
217 0.389140481307511 2.35615439512791e-09 0.610859516331063 0.609631138216081 0.319918009708483
218 0.389051821511415 1.96918709076333e-09 0.610948176514981 0.609616328877072 0.320202551956409
219 0.388965296371826 1.64555192056651e-09 0.611034701978923 0.609601832667487 0.320480308124206
220 0.388880852224424 1.37492494602597e-09 0.611119146397552 0.609587643787398 0.320751445859321
