"kD" "kA" "SR"
0.2725 0.005 0.500000132737306
0.275 0.005 0.50000013072441
0.2775 0.005 0.500000128710273
0.28 0.005 0.500000126695938
0.2825 0.005 0.50000012468243
0.285 0.005 0.500000122670746
0.2875 0.005 0.500000120661865
0.29 0.005 0.500000118656743
0.2925 0.005 0.500000116656311
0.295 0.005 0.50000011466148
0.2975 0.005 0.500000112673137
0.3 0.005 0.500000110692146
0.3025 0.005 0.50000010871935
0.305 0.005 0.500000106755567
0.3075 0.005 0.500000104801594
0.31 0.005 0.500000102858205
0.3125 0.005 0.500000100926151
0.315 0.005 0.500000099006158
0.3175 0.005 0.500000097098934
0.32 0.005 0.50000009520516
0.3225 0.005 0.500000093325497
0.325 0.005 0.500000091460582
0.3275 0.005 0.500000089611029
0.33 0.005 0.500000087777431
0.3325 0.005 0.500000085960357
0.335 0.005 0.500000084160355
0.3375 0.005 0.50000008237795
0.34 0.005 0.500000080613645
0.3425 0.005 0.500000078867921
0.345 0.005 0.500000077141236
0.3475 0.005 0.500000075434027
0.35 0.005 0.50000007374671
0.3525 0.005 0.500000072079678
0.355 0.005 0.500000070433303
0.3575 0.005 0.500000068807936
0.36 0.005 0.500000067203908
0.3625 0.005 0.500000065621525
0.365 0.005 0.500000064061078
0.3675 0.005 0.500000062522833
0.37 0.005 0.500000061007037
0.3725 0.005 0.500000059513918
0.375 0.005 0.500000058043682
0.3775 0.005 0.500000056596517
0.38 0.005 0.500000055172591
0.3825 0.005 0.500000053772053
0.385 0.005 0.500000052395031
0.3875 0.005 0.500000051041638
0.39 0.005 0.500000049711966
0.3925 0.005 0.500000048406089
0.395 0.005 0.500000047124063
0.3975 0.005 0.500000045865929
0.4 0.005 0.500000044631708
0.4025 0.005 0.500000043421404
0.405 0.005 0.500000042235006
0.4075 0.005 0.500000041072486
0.41 0.005 0.5000000399338
0.4125 0.005 0.500000038818887
0.415 0.005 0.500000037727674
0.4175 0.005 0.500000036660069
0.42 0.005 0.50000003561597
0.4225 0.005 0.500000034595256
0.425 0.005 0.500000033597797
0.4275 0.005 0.500000032623444
0.43 0.005 0.50000003167204
0.4325 0.005 0.500000030743412
