"G" "A1D1X" "A2D1X" "A1D1Y" "A2D1Y" "A1D1O" "A2D1O" "A1D2X" "A2D2X" "A1D2Y" "A2D2Y" "A1D2O" "A2D2O"
49 0.333522260524254 0.088541298420657 0.17944133233813 0.0514310282746276 0.174990065775639 0.0397456449764238 7.48489308765716e-05 0.0330072434916907 3.95186461190084e-05 0.0100740914114496 0.000185028146510706 0.088933305735458
50 0.331237349452957 0.0843021464314293 0.166382840879226 0.046062529227108 0.187526449219526 0.0409893628495259 8.19037097680894e-05 0.0357929267752888 4.06540543135639e-05 0.0103302174099108 0.000205057074990704 0.0970323384579302
51 0.328768910988663 0.080098759636126 0.153253580505704 0.0409350885195656 0.19998926286245 0.0420168114406037 8.93260301772133e-05 0.0386450704815447 4.14533233466779e-05 0.0104936933168524 0.000226524767184962 0.1054233794613
52 0.326151994183974 0.0759511807006389 0.140213168675328 0.036090413620913 0.212238802342734 0.0428043742503294 9.70906920636321e-05 0.0415404258644572 4.18823465260563e-05 0.0105563628183126 0.00024938972966484 0.114044897880296
53 0.323423635886374 0.0718792615705633 0.127417307185558 0.0315637180893458 0.224140815478787 0.0433350472626911 0.000105168395571685 0.0444548852360982 4.1919185657629e-05 0.0105136316894285 0.000273586001057427 0.122829230245236
54 0.320621500736885 0.0679019080678205 0.115011249637763 0.0273821083757023 0.235572264904935 0.0435993738138466 0.0001135266412729 0.0473643719744891 4.15558716377518e-05 0.0103649036306435 0.000299024052180948 0.131704810489542
55 0.317782531639188 0.0640364106651271 0.103124055579552 0.0235635409221104 0.246426284528568 0.0435958704098662 0.000122130675996676 0.0502456958879004 4.07991939076965e-05 0.0101137116236246 0.000325592834082333 0.140598599775648
56 0.314941718091872 0.0602979087757595 0.0918640995918878 0.0201164273009313 0.256615925353828 0.043330909119168 0.000130944412984337 0.0530773085286541 3.96703752060329e-05 0.00976752292315123 0.000353162863746978 0.149438542367182
57 0.312131068891645 0.0566990177681077 0.0813161375771352 0.0170398857159355 0.266076442656704 0.0428180868933684 0.000139931269472978 0.055839908854803 3.82036683431714e-05 0.00933723830752709 0.000381590140075761 0.158155878762717
58 0.309378845303953 0.0532496278594494 0.0715400370428286 0.0143245632924331 0.274766056104727 0.0420771692787577 0.000149054884471005 0.0585168703949918 3.64440441443233e-05 0.00883644502652867 0.000410720609268691 0.166687170719697
59 0.306709077117108 0.049956865629234 0.0625710893019111 0.0119538976089168 0.282665284567568 0.0411327361026475 0.00015827969997754 0.0610944827181761 3.44442404535099e-05 0.00828051084255462 0.000440394859479111 0.174975929623837
60 0.304141352978201 0.0468251947873028 0.0544216692888163 0.00990565516775894 0.289775091440628 0.0400126748925923 0.000167571406510113 0.0635620189546652 3.22614956531259e-05 0.00768561926820228 0.000470452723877212 0.182973783549183
61 0.301690852349233 0.0438566243600913 0.0470839112181097 0.00815358017476217 0.296114158882092 0.0387466640506565 0.000176897266317782 0.0659116549749462 2.99542922762254e-05 0.00706784280436747 0.000500737506677121 0.190641162968718
62 0.29936857137983 0.0410509896032775 0.0405330299879482 0.00666900501523657 0.301715637531659 0.037364766374827 0.000186226334490353 0.068138273692315 2.7579393497734e-05 0.0064423342945459 0.000531099609973324 0.197947525107541
63 0.2971816889117 0.0384062727061528 0.0347309318753046 0.00542230680295254 0.306623699494806 0.0358962210549948 0.000195529600047314 0.0702391901884751 2.51893816660387e-05 0.00582269129936364 0.000561399418475902 0.20487116868046
64 0.295134020140349 0.0359189352136959 0.029629809319399 0.00438413400955352 0.310890170360053 0.0343684859295248 0.000204780067437277 0.0722138311894189 2.28308206964769e-05 0.00522052026975597 0.000591509381615355 0.211398712299886
65 0.293226511854114 0.0335842405023234 0.0251754867245235 0.00352636612137174 0.314571446329692 0.0328065476526545 0.00021395279528203 0.0740633974085483 2.05430789964243e-05 0.00464520123789626 0.000621315306849667 0.217524320894177
66 0.291457742284322 0.0313965513131159 0.0213103620334455 0.00282280233247932 0.317725829102286 0.0312324896068331 0.000223024904993152 0.0757905309268862 1.83577784034869e-05 0.00410383321160255 0.000650716936575968 0.223248766064415
67 0.289824398460838 0.0293495933842356 0.0179758609231502 0.00224959975223073 0.320411344216714 0.0296652878482496 0.00023197556797986 0.0773990032856655 1.6298783852203e-05 0.00360132708750692 0.000679627920087377 0.228578400328255
68 0.288321713191817 0.0274366811517126 0.0151143799531555 0.00178549693161121 0.322684054207661 0.0281207942064784 0.000240785977027579 0.0788934341123637 1.4382619592794e-05 0.00314060669777168 0.000707975311489943 0.233524113977856
69 0.286943851585748 0.0256509051532003 0.012670739019844 0.00141186567108174 0.324596838433568 0.0266118617198001 0.000249439305192396 0.080279045298997 1.26191884669188e-05 0.00272287843621436 0.000735698727110269 0.238100329163786
70 0.285684243101163 0.0239852832424741 0.0105931922446469 0.00111263486423628 0.326198586356497 0.0251485690871127 0.000257920654148984 0.0815614521218185 1.10126765331704e-05 0.00234793405291672 0.000762749285913782 0.242324070875392
71 0.284535859470443 0.0224328791932954 0.00883406202549555 0.000874126592947593 0.327533738246768 0.0237385058382393 0.000266216993169698 0.0827464901650332 9.56254104930606e-06 0.00201445784870919 0.000789088438459787 0.246214140320694
72 0.283491441715129 0.0209868929723724 0.00735006633641477 0.000684838691047038 0.328642103895854 0.0223870867613307 0.000274317089599714 0.0838400753173633 8.26450062873741e-06 0.00172031706796295 0.000814686768170405 0.249790403881893
73 0.282543681147286 0.0196407271179684 0.0061024075076561 0.00053520102656224 0.329558893042827 0.0210978714559999 0.00028221143164972 0.0848480932437753 7.1114684232437e-06 0.00146282161041981 0.000839522826525915 0.253073200896403
74 0.281685360038535 0.0183880334653864 0.00505668436057021 0.000417325866831342 0.330314898301997 0.01987287180361 0.000289892144417933 0.0857763143963496 6.09438974361669e-06 0.0012389455276739 0.000863582043510181 0.256082866132307
75 0.28090945780547 0.0172227440626528 0.0041826808659281 0.000324766527259786 0.33093678040826 0.0187128361415081 0.000297352900184817 0.0866303306470455 5.20296303284728e-06 0.0010455077869889 0.000886855737521604 0.258839357836806
76 0.280209228327035 0.01613908962721 0.00345407501506747 0.000252293376292343 0.331447415121954 0.0176175037732528 0.000304588824141207 0.0874155098656557 4.42623687945445e-06 0.000879313411068753 0.000909340235544167 0.261361979300148
77 0.279578253542353 0.0151316083797813 0.0028481023848207 0.000195692256336678 0.331866270210606 0.0165858271257064 0.000311596396785766 0.0881369651283131 3.75308577845753e-06 0.000737258459161411 0.00093103610457884 0.263669180577719
78 0.279010477895627 0.0141951475995628 0.00234520055658052 0.000151587416143126 0.332209789007543 0.0156161614850071 0.000318373354251276 0.0887995356556331 3.17257399441561e-06 0.000616403621620491 0.000951947488759413 0.265778426922832
79 0.278500227578036 0.01332485980014 0.00192865341645036 0.000117288989740797 0.332491763890585 0.0147064239773072 0.000324918587792973 0.0894077769991422 2.67422073744075e-06 0.000514021707358608 0.000972081542641479 0.267706121215409
80 0.278042217915668 0.0125161950388582 0.00158424849919652 9.06637264847111e-05 0.332723688581572 0.0138542244946688 0.000331232043603655 0.0899659583922845 2.24818156935226e-06 0.000427624250769776 0.000991447949241612 0.26946756890435
81 0.277631551696566 0.0117648905458248 0.00129995588961764 7.00269039803415e-05 0.332915082516397 0.0130569717798392 0.000337314624019736 0.0904780655429239 1.88536111887175e-06 0.000354972056353855 0.00101005851094034 0.271076975463307
82 0.277263710733445 0.0110669585891138 0.00106563363173775 5.40529875487375e-05 0.333073783818408 0.0123119580299086 0.000343168091060061 0.0909478074613995 1.57747132330008e-06 0.000294073896511661 0.00102792680185688 0.272547467909389
83 0.27693454252628 0.0104186732742052 0.000872761956815014 4.17025098205628e-05 0.333206209794638 0.0116164252828511 0.000348794973104583 0.0913786261907427 1.31704794705428e-06 0.000243176898462254 0.00104506787136669 0.273891133429938
84 0.276640243519856 0.00981655680125823 0.000714206757918704 3.2162732929356e-05 0.333317585534896 0.0109676166082769 0.000354198475380847 0.0917737085358352 1.09743636884303e-06 0.000200751479525588 0.0010614979897737 0.275119069530143
85 0.276377340140891 0.00925736556644017 0.00058401145472139 2.47998497997011e-05 0.333412142285231 0.0103628148041054 0.000359382394788876 0.092135999079914 9.12755800895421e-07 0.000165473064997885 0.00107723442856573 0.27624144131575
86 0.276142668541596 0.00873807638663018 0.000477215568949175 1.91207277041253e-05 0.333493287926458 0.00979937095261045 0.000364351039464223 0.0924682139345487 7.57849351133626e-07 0.00013620227539955 0.00109229526904154 0.277267542547932
87 0.275933353764671 0.00825587304455199 0.000389697852256547 1.47424610729068e-05 0.333563752229104 0.00927472484398523 0.0003691091533579 0.0927728547977317 6.28225748974327e-07 0.000111964809737221 0.00110669923432472 0.278205857955493
88 0.275746788872352 0.00780813328876888 0.000318041579515456 1.13682588383487e-05 0.333625709670052 0.00878641895233634 0.000373661846002713 0.0930522229985317 5.199971706328e-07 9.1931877822323e-05 0.00112046554083751 0.279064124976973
89 0.275580614442998 0.00739241637582153 0.000259419566885766 8.76843109370174e-06 0.33368088255522 0.00833210735807304 0.000378014527539356 0.0933084332899378 4.29816433359657e-07 7.54017406380498e-05 0.00113361376618471 0.279849393650954
90 0.275432698727424 0.00700645120669508 0.000211496538036615 6.76545378453532e-06 0.333730627051362 0.00790956075616978 0.000382172848992713 0.0935434272176391 3.54815873412258e-07 6.17826931153733e-05 0.00114616373110473 0.280568083797737
91 0.275301118668872 0.00664812508401574 0.000172346600314871 5.22227610813451e-06 0.333776004529252 0.00751666847201362 0.000386142647719138 0.0937589859446367 2.92549461650747e-07 5.05776572747882e-05 0.00115813539369576 0.281226038959961
92 0.275184141921144 0.0063154730977136 0.000140383773871636 4.0331935900313e-06 0.333817840389288 0.00715143822341081 0.000389929897888191 0.0939567424523575 2.40939119532826e-07 4.13704345635532e-05 0.00116954875454504 0.281828576812441
