"kD" "kA" "z1vector" "z2vector" "z3vector" "z4vector" "z5vector" "z6vector" "z7vector" "z8vector" "z9vector"
0.13 0.03 0.5 0.5 0.5 0.500000047533337 0.500000087211962 0.500001623793217 0.500008557792302 0.500016239072646 0.500327097283027
0.14 0.03 0.5 0.5 0.5 0.500000048703199 0.500000097521043 0.500002406556091 0.500009308450648 0.500019334089561 0.500505132066287
0.15 0.03 0.5 0.5 0.5 0.500000049588747 0.500000109435949 0.500003583926752 0.500010075171345 0.500023136340088 0.500775856405236
0.16 0.03 0.5 0.5 0.5 0.500000050204843 0.50000012347933 0.500005365645082 0.500010858695582 0.500027880890442 0.501179497186447
0.17 0.03 0.5 0.5 0.5 0.500000050566439 0.500000140360759 0.500008078873533 0.500011659820368 0.500033899109261 0.501762790538148
0.18 0.03 0.5 0.5 0.5 0.500000050688547 0.500000161057249 0.500012237113751 0.500012479404044 0.500041664509812 0.502567908353934
0.19 0.03 0.5 0.5 0.5 0.500000050586213 0.500000186933421 0.500018651010933 0.500013318372433 0.500051862804722 0.503612308148234
0.2 0.03 0.5 0.5 0.5 0.500000050274483 0.500000219923165 0.500028606690039 0.500014177725734 0.500065499688389 0.504866970840979
0.21 0.03 0.5 0.5 0.5 0.500000049768374 0.500000262807817 0.500044152001963 0.50001505854625 0.500084067237862 0.50625030862891
0.22 0.03 0.5 0.5 0.5 0.500000049082838 0.500000319647761 0.500068551890682 0.500015962007067 0.500109800351737 0.50764988452514
0.23 0.03 0.5 0.5 0.5 0.50000004823273 0.500000396461036 0.500106998866201 0.50001688938182 0.500146067912668 0.508960718051633
0.24 0.03 0.5 0.5 0.5 0.500000047232774 0.500000502304848 0.500167680183513 0.500017842055714 0.500197955025051 0.51011413857789
0.25 0.03 0.5 0.5 0.5 0.500000046097522 0.500000651022766 0.500263267001826 0.500018821537953 0.500273087341641 0.511083547734804
0.26 0.03 0.5 0.5 0.5 0.500000044841322 0.50000086410634 0.500412694359896 0.500019829475829 0.500382684637003 0.511873668501363
0.27 0.03 0.5 0.5 0.5 0.500000043478276 0.500001175446649 0.500642535574697 0.500020867670677 0.500542618273915 0.512505977088406
0.28 0.03 0.5 0.5 0.5 0.500000042022207 0.500001639332162 0.500986121539743 0.500021938096024 0.500773746201358 0.513007638324305
0.29 0.03 0.5 0.5 0.5 0.500000040486615 0.500002344092062 0.5014771557662 0.500023042918249 0.50109996033718 0.513405241350418
0.3 0.03 0.5 0.5 0.5 0.500000038884645 0.500003435671487 0.502135104013345 0.500024184520151 0.501541760546788 0.51372203772656
0.31 0.03 0.5 0.5 0.5 0.500000037229043 0.500005158859686 0.502945993606373 0.500025365527926 0.502104653180192 0.513977147674109
