"k" "c" "DF"
0.085 0.52 0.0011542509050166
0.09 0.52 0.00145827124988166
0.095 0.52 0.00184465206234064
0.1 0.52 0.00233515984233448
0.105 0.52 0.00295643628628705
0.11 0.52 0.00374035573257136
0.115 0.52 0.00472381600398162
0.12 0.52 0.00594749643772883
0.125 0.52 0.00745297744025851
0.13 0.52 0.0092775990406578
0.135 0.52 0.0114467253165687
0.14 0.52 0.0139638847325534
0.145 0.52 0.0168006215890983
0.15 0.52 0.0198894148852962
0.155 0.52 0.0231236886841532
0.16 0.52 0.026367591268668
0.165 0.52 0.0294746755151659
0.17 0.52 0.0323105051942371
0.175 0.52 0.0347721819754682
0.18 0.52 0.0367992737509103
0.185 0.52 0.0383745383742014
0.19 0.52 0.039516634183501
0.195 0.52 0.0402688417911511
0.2 0.52 0.0406875471171258
0.205 0.52 0.040832829695649
0.21 0.52 0.0407620081928394
0.215 0.52 0.0405259721955062
0.22 0.52 0.0401676546993276
0.225 0.52 0.0397219164259067
0.23 0.52 0.0392162285742594
0.235 0.52 0.0386717161392597
0.24 0.52 0.0381042864162097
0.245 0.52 0.0375256903753323
0.25 0.52 0.0369444467238992
0.255 0.52 0.036366607909733
0.26 0.52 0.0357963740036525
0.265 0.52 0.0352365727114074
0.27 0.52 0.0346890277392935
0.275 0.52 0.034154837307109
0.28 0.52 0.0336345821483879
0.285 0.52 0.0331284792031103
0.29 0.52 0.0326364940885294
0.295 0.52 0.0321584226473576
0.3 0.52 0.0316939495288512
0.305 0.52 0.0312426898601984
0.31 0.52 0.0308042185676215
0.315 0.52 0.030378090746219
0.32 0.52 0.0299638555914574
0.325 0.52 0.0295610657361181
0.33 0.52 0.0291692833360226
0.335 0.52 0.0287880838765164
0.34 0.52 0.0284170583982175
0.345 0.52 0.0280558146404662
0.35 0.52 0.0277039774555553
0.355 0.52 0.0273611887418535
0.36 0.52 0.0270271070686563
0.365 0.52 0.0267014071119616
0.37 0.52 0.0263837789824138
0.375 0.52 0.026073927500014
0.38 0.52 0.0257715714516119
0.385 0.52 0.0254764428543864
0.39 0.52 0.0251882862397351
0.395 0.52 0.0249068579660751
0.4 0.52 0.0246319255651015
0.405 0.52 0.0243632671234541
